1980,3.973583333
1981,4.0575
1982,3.993533333
1983,4.839527778
1984,4.817138889
1985,2.933060606
1986,4.074361111
1987,4.96
1988,2.632407407
1989,1.427833333
1990,1.566125
1991,1.425416667
1992,1.476757576
1993,1.444185185
1994,1.7185
1995,1.662116667
1996,1.557041667
1997,1.403125
1998,1.854148148
1999,2.254037037
2000,1.454833333
2001,3.065
2002,1.795
2003,2.305861111
2004,1.911902778
2005,1.843527778
2006,1.690291667
2007,1.929242424
2008,1.844027778
2009,2.4884
2010,2.5
