1980,3.803138889
1981,3.488222222
1982,3.662555556
1983,3.759902778
1984,3.747222222
1985,3.909652778
1986,3.917166667
1987,3.940625
1988,3.221625
1989,3.039861111
1990,2.9545
1991,2.836875
1992,3.286625
1993,3.181291667
1994,3.589652778
1995,3.808125
1996,3.577708333
1997,3.737902778
1998,3.723305556
1999,3.394694444
2000,3.219305556
2001,3.260486111
2002,3.980722222
2003,3.586819444
2004,3.498583333
2005,3.426277778
2006,4.001263889
2007,4.186708333
2008,3.979736111
2009,3.061819444
2010,2.955347222
