1980,3.368125
1981,3.303194444
1982,2.972569444
1983,3.121458333
1984,4.229805556
1985,4.932625
1986,2.894333333
1987,4.238805556
1988,4.305902778
1989,3.460027778
1990,3.845291667
1991,3.865763889
1992,3.286527778
1993,2.63375
1994,2.835458333
1995,2.841888889
1996,2.950333333
1997,3.246291667
1998,3.710208333
1999,3.054861111
2000,3.124236111
2001,2.802208333
2002,3.996041667
2003,3.323069444
2004,2.522708333
2005,2.079486111
2006,2.620930556
2007,3.048680556
2008,3.105168709
2009,3.688291667
2010,3.105168709
