Year,Water_level
Jan-80,2.090
Feb-80,2.153
Mar-80,2.238
Apr-80,2.330
May-80,1.505
Jun-80,1.030
Jul-80,1.000
Aug-80,1.045
Sep-80,0.980
Oct-80,0.885
Nov-80,1.223
Dec-80,1.674
Jan-81,1.738
Feb-81,2.023
Mar-81,2.200
Apr-81,2.010
May-81,2.030
Jun-81,1.365
Jul-81,0.995
Aug-81,0.763
Sep-81,0.763
Oct-81,1.145
Nov-81,1.513
Dec-81,2.105
Jan-82,2.260
Feb-82,2.445
Mar-82,2.607
Apr-82,2.045
May-82,1.760
Jun-82,1.123
Jul-82,0.640
Aug-82,1.015
Sep-82,1.093
Oct-82,1.245
Nov-82,1.590
Dec-82,1.840
Jan-83,2.120
Feb-83,2.398
Mar-83,2.335
Apr-83,2.103
May-83,1.547
Jun-83,1.430
Jul-83,0.950
Aug-83,0.798
Sep-83,0.910
Oct-83,1.085
Nov-83,1.470
Dec-83,1.838
Jan-84,2.135
Feb-84,2.388
Mar-84,2.675
Apr-84,2.680
May-84,1.483
Jun-84,1.250
Jul-84,1.130
Aug-84,0.978
Sep-84,0.710
Oct-84,1.007
Nov-84,1.475
Dec-84,1.755
Jan-85,2.093
Feb-85,2.213
Mar-85,2.350
Apr-85,1.750
May-85,1.540
Jun-85,0.810
Jul-85,0.690
Aug-85,0.497
Sep-85,0.983
Oct-85,0.990
Nov-85,1.410
Dec-85,1.780
Jan-86,3.463
Feb-86,5.105
Mar-86,5.374
Apr-86,5.157
May-86,4.717
Jun-86,4.612
Jul-86,3.398
Aug-86,2.750
Sep-86,2.988
Oct-86,2.770
Nov-86,3.250
Dec-86,3.892
Jan-87,4.430
Feb-87,4.690
Mar-87,5.104
Apr-87,5.023
May-87,4.500
Jun-87,3.488
Jul-87,2.728
Aug-87,1.933
Sep-87,2.323
Oct-87,2.470
Nov-87,3.598
Dec-87,4.090
Jan-88,4.430
Feb-88,4.898
Mar-88,5.283
Apr-88,5.448
May-88,5.035
Jun-88,2.980
Jul-88,1.765
Aug-88,1.933
Sep-88,2.190
Oct-88,3.050
Nov-88,3.640
Dec-88,3.893
Jan-89,4.390
Feb-89,4.725
Mar-89,5.008
Apr-89,5.168
May-89,5.135
Jun-89,4.975
Jul-89,4.737
Aug-89,3.240
Sep-89,2.457
Oct-89,2.655
Nov-89,3.355
Dec-89,3.813
Jan-90,4.354
Feb-90,4.475
Mar-90,4.555
Apr-90,4.323
May-90,3.888
Jun-90,3.488
Jul-90,2.728
Aug-90,1.933
Sep-90,2.323
Oct-90,2.470
Nov-90,3.598
Dec-90,4.090
Jan-91,2.436
Feb-91,2.413
Mar-91,2.650
Apr-91,1.757
May-91,1.453
Jun-91,0.790
Jul-91,0.050
Aug-91,0.525
Sep-91,0.417
Oct-91,0.707
Nov-91,1.445
Dec-91,1.865
Jan-92,2.138
Feb-92,2.435
Mar-92,2.608
Apr-92,2.700
May-92,2.363
Jun-92,0.970
Jul-92,0.050
Aug-92,0.344
Sep-92,0.670
Oct-92,0.870
Nov-92,1.420
Dec-92,1.773
Jan-93,2.055
Feb-93,2.260
Mar-93,2.270
Apr-93,2.180
May-93,1.415
Jun-93,0.407
Jul-93,0.160
Aug-93,0.315
Sep-93,0.408
Oct-93,0.687
Nov-93,1.202
Dec-93,1.745
Jan-94,2.126
Feb-94,2.418
Mar-94,2.410
Apr-94,1.730
May-94,1.586
Jun-94,0.867
Jul-94,0.885
Aug-94,0.293
Sep-94,0.585
Oct-94,0.883
Nov-94,1.390
Dec-94,1.740
Jan-95,2.138
Feb-95,2.435
Mar-95,2.608
Apr-95,2.700
May-95,2.363
Jun-95,1.070
Jul-95,0.188
Aug-95,0.210
Sep-95,0.487
Oct-95,0.952
Nov-95,1.358
Dec-95,1.733
Jan-96,2.118
Feb-96,2.375
Mar-96,2.298
Apr-96,1.916
May-96,1.238
Jun-96,0.553
Jul-96,0.207
Aug-96,0.193
Sep-96,0.488
Oct-96,0.363
Nov-96,1.235
Dec-96,1.685
Jan-97,2.060
Feb-97,2.310
Mar-97,2.670
Apr-97,2.477
May-97,2.327
Jun-97,1.405
Jul-97,0.775
Aug-97,1.029
Sep-97,0.475
Oct-97,0.250
Nov-97,1.510
Dec-97,1.772
Jan-98,2.138
Feb-98,2.393
Mar-98,2.572
Apr-98,2.170
May-98,1.850
Jun-98,0.790
Jul-98,0.308
Aug-98,0.135
Sep-98,0.440
Oct-98,1.113
Nov-98,1.543
Dec-98,1.970
Jan-99,2.275
Feb-99,2.495
Mar-99,2.693
Apr-99,2.690
May-99,2.248
Jun-99,1.358
Jul-99,0.298
Aug-99,0.376
Sep-99,0.693
Oct-99,0.867
Nov-99,1.306
Dec-99,1.830
Jan-00,2.160
Feb-00,2.345
Mar-00,2.550
Apr-00,2.288
May-00,1.080
Jun-00,0.185
Jul-00,0.400
Aug-00,0.290
Sep-00,0.250
Oct-00,0.895
Nov-00,1.328
Dec-00,1.773
Jan-01,2.132
Feb-01,2.543
Mar-01,2.558
Apr-01,2.672
May-01,1.948
Jun-01,0.793
Jul-01,0.315
Aug-01,0.280
Sep-01,0.590
Oct-01,0.588
Nov-01,1.068
Dec-01,1.692
Jan-02,2.103
Feb-02,2.358
Mar-02,2.610
Apr-02,2.184
May-02,1.653
Jun-02,0.870
Jul-02,0.290
Aug-02,0.100
Sep-02,0.856
Oct-02,1.093
Nov-02,1.463
Dec-02,1.657
