Year,Water_level
1/1/1980,2.530
2/1/1980,2.858
3/1/1980,3.263
4/1/1980,3.005
5/1/1980,2.083
6/1/1980,1.943
7/1/1980,1.885
8/1/1980,1.850
9/1/1980,1.840
10/1/1980,2.033
11/1/1980,2.125
12/1/1980,2.743
1/1/1981,3.025
2/1/1981,3.208
3/1/1981,2.968
4/1/1981,2.543
5/1/1981,2.173
6/1/1981,1.748
7/1/1981,1.957
8/1/1981,6.305
9/1/1981,2.230
10/1/1981,2.365
11/1/1981,2.704
12/1/1981,3.230
1/1/1982,3.498
2/1/1982,3.855
3/1/1982,4.114
4/1/1982,3.120
5/1/1982,2.332
6/1/1982,2.160
7/1/1982,1.793
8/1/1982,4.674
9/1/1982,4.938
10/1/1982,5.036
11/1/1982,4.556
12/1/1982,5.236
1/1/1983,2.490
2/1/1983,3.568
3/1/1983,3.878
4/1/1983,2.940
5/1/1983,2.342
6/1/1983,2.015
7/1/1983,1.725
8/1/1983,1.625
9/1/1983,1.540
10/1/1983,1.680
11/1/1983,1.877
12/1/1983,2.543
1/1/1984,3.090
2/1/1984,3.528
3/1/1984,3.735
4/1/1984,5.447
5/1/1984,4.740
6/1/1984,4.131
7/1/1984,1.410
8/1/1984,1.830
9/1/1984,1.410
10/1/1984,4.309
11/1/1984,4.421
12/1/1984,4.652
1/1/1985,4.723
2/1/1985,5.154
3/1/1985,4.964
4/1/1985,5.494
5/1/1985,5.092
6/1/1985,4.241
7/1/1985,4.209
8/1/1985,5.034
9/1/1985,5.233
10/1/1985,3.195
11/1/1985,4.385
12/1/1985,5.325
1/1/1986,4.611
2/1/1986,4.660
3/1/1986,4.673
4/1/1986,5.400
5/1/1986,5.211
6/1/1986,3.643
7/1/1986,4.116
8/1/1986,4.980
9/1/1986,3.818
10/1/1986,3.967
11/1/1986,5.057
12/1/1986,5.068
1/1/1987,5.164
2/1/1987,4.838
3/1/1987,5.131
4/1/1987,4.757
5/1/1987,5.014
6/1/1987,4.027
7/1/1987,3.911
8/1/1987,5.398
9/1/1987,4.840
10/1/1987,4.419
11/1/1987,4.449
12/1/1987,5.339
1/1/1988,5.086
2/1/1988,4.868
3/1/1988,4.675
4/1/1988,5.433
5/1/1988,4.186
6/1/1988,4.197
7/1/1988,4.858
8/1/1988,4.702
9/1/1988,3.821
10/1/1988,4.404
11/1/1988,5.290
12/1/1988,4.560
1/1/1989,6.014
2/1/1989,4.749
3/1/1989,4.927
4/1/1989,5.253
5/1/1989,4.803
6/1/1989,3.952
7/1/1989,3.787
8/1/1989,5.109
9/1/1989,4.888
10/1/1989,4.261
11/1/1989,5.018
12/1/1989,5.708
1/1/1990,4.116
2/1/1990,4.965
3/1/1990,4.377
4/1/1990,4.346
5/1/1990,5.640
6/1/1990,4.437
7/1/1990,3.691
8/1/1990,5.814
9/1/1990,4.302
10/1/1990,4.097
11/1/1990,4.663
12/1/1990,5.337
1/1/1991,5.165
2/1/1991,5.333
3/1/1991,4.873
4/1/1991,4.715
5/1/1991,4.968
6/1/1991,4.143
7/1/1991,4.451
8/1/1991,5.336
9/1/1991,5.509
10/1/1991,3.902
11/1/1991,4.610
12/1/1991,4.584
1/1/1992,5.382
2/1/1992,4.897
3/1/1992,5.018
4/1/1992,4.404
5/1/1992,4.970
6/1/1992,4.901
7/1/1992,4.490
8/1/1992,5.613
9/1/1992,4.439
10/1/1992,4.532
11/1/1992,4.189
12/1/1992,5.813
1/1/1993,2.825
2/1/1993,3.108
3/1/1993,3.426
4/1/1993,2.570
5/1/1993,2.678
6/1/1993,3.233
7/1/1993,3.480
8/1/1993,1.567
9/1/1993,2.333
10/1/1993,1.940
11/1/1993,2.840
12/1/1993,2.763
1/1/1994,2.802
2/1/1994,2.703
3/1/1994,2.423
4/1/1994,2.655
5/1/1994,2.750
6/1/1994,2.520
7/1/1994,2.540
8/1/1994,3.283
9/1/1994,3.307
10/1/1994,2.515
11/1/1994,3.080
12/1/1994,3.890
1/1/1995,3.355
2/1/1995,3.941
3/1/1995,4.916
4/1/1995,4.802
5/1/1995,5.221
6/1/1995,3.132
7/1/1995,4.186
8/1/1995,5.222
9/1/1995,4.020
10/1/1995,2.693
11/1/1995,4.915
12/1/1995,1.515
1/1/1996,4.835
2/1/1996,6.353
3/1/1996,3.048
4/1/1996,2.203
5/1/1996,2.170
6/1/1996,3.530
7/1/1996,4.111
8/1/1996,5.427
9/1/1996,5.630
10/1/1996,5.099
11/1/1996,4.790
12/1/1996,6.303
1/1/1997,4.965
2/1/1997,5.422
3/1/1997,4.801
4/1/1997,6.608
5/1/1997,2.845
6/1/1997,3.027
7/1/1997,3.350
8/1/1997,1.520
9/1/1997,5.325
10/1/1997,2.817
11/1/1997,4.030
12/1/1997,4.035
1/1/1998,4.020
2/1/1998,5.027
3/1/1998,4.023
4/1/1998,4.040
5/1/1998,4.020
6/1/1998,6.535
7/1/1998,2.690
8/1/1998,7.010
9/1/1998,3.850
10/1/1998,4.275
11/1/1998,4.475
12/1/1998,4.879
1/1/1999,6.475
2/1/1999,3.925
3/1/1999,4.118
4/1/1999,5.233
5/1/1999,3.463
6/1/1999,3.058
7/1/1999,4.535
8/1/1999,5.510
9/1/1999,5.433
10/1/1999,4.848
11/1/1999,5.343
12/1/1999,2.693
1/1/2000,3.683
2/1/2000,2.030
3/1/2000,2.515
4/1/2000,2.130
5/1/2000,3.420
6/1/2000,3.663
7/1/2000,4.505
8/1/2000,5.618
9/1/2000,5.041
10/1/2000,3.848
11/1/2000,4.100
12/1/2000,2.105
1/1/2001,4.818
2/1/2001,4.415
3/1/2001,5.103
4/1/2001,5.430
5/1/2001,5.624
6/1/2001,4.208
7/1/2001,3.964
8/1/2001,4.667
9/1/2001,4.050
10/1/2001,6.393
11/1/2001,4.050
12/1/2001,4.040
1/1/2002,4.770
2/1/2002,4.050
3/1/2002,6.017
4/1/2002,5.553
5/1/2002,6.540
6/1/2002,5.030
7/1/2002,8.430
8/1/2002,8.040
9/1/2002,8.293
10/1/2002,10.020
11/1/2002,7.030
12/1/2002,5.040
1/1/2003,5.785
2/1/2003,5.013
3/1/2003,4.033
4/1/2003,6.020
5/1/2003,6.023
6/1/2003,5.535
7/1/2003,4.040
8/1/2003,8.347
9/1/2003,4.040
10/1/2003,6.060
11/1/2003,4.559
12/1/2003,4.820
1/1/2004,5.070
2/1/2004,5.037
3/1/2004,5.338
4/1/2004,6.320
5/1/2004,5.288
6/1/2004,6.737
7/1/2004,8.060
8/1/2004,8.040
9/1/2004,7.570
10/1/2004,5.053
11/1/2004,8.548
12/1/2004,6.853
1/1/2005,9.070
2/1/2005,7.683
3/1/2005,6.550
