Year,Water_level
Jan-76,2.782
Feb-76,2.873
Mar-76,2.798
Apr-76,2.676
May-76,1.450
Jun-76,1.278
Jul-76,1.120
Aug-76,2.363
Sep-76,1.420
Oct-76,1.450
Nov-76,1.470
Dec-76,1.490
Jan-77,1.508
Feb-77,1.550
Mar-77,1.425
Apr-77,1.370
May-77,1.280
Jun-77,2.468
Jul-77,2.480
Aug-77,1.283
Sep-77,2.531
Oct-77,1.310
Nov-77,1.380
Dec-77,1.410
Jan-78,2.370
Feb-78,1.515
Mar-78,1.580
Apr-78,1.630
May-78,1.475
Jun-78,1.340
Jul-78,1.375
Aug-78,1.435
Sep-78,1.460
Oct-78,1.490
Nov-78,2.515
Dec-78,1.600
Jan-79,1.623
Feb-79,1.707
Mar-79,1.700
Apr-79,1.670
May-79,1.540
Jun-79,1.453
Jul-79,1.500
Aug-79,1.565
Sep-79,2.531
Oct-79,1.610
Nov-79,2.515
Dec-79,2.517
Jan-80,1.735
Feb-80,2.430
Mar-80,1.720
Apr-80,2.676
May-80,2.000
Jun-80,2.468
Jul-80,1.423
Aug-80,2.363
Sep-80,2.531
Oct-80,1.385
Nov-80,1.610
Dec-80,1.680
Jan-81,1.680
Feb-81,2.873
Mar-81,1.735
Apr-81,2.010
May-81,2.050
Jun-81,1.410
Jul-81,1.360
Aug-81,1.410
Sep-81,2.531
Oct-81,1.495
Nov-81,1.568
Dec-81,1.640
Jan-82,1.690
Feb-82,1.727
Mar-82,1.747
Apr-82,1.605
May-82,1.553
Jun-82,1.440
Jul-82,1.335
Aug-82,1.323
Sep-82,1.453
Oct-82,1.590
Nov-82,1.645
Dec-82,2.517
Jan-83,1.695
Feb-83,1.788
Mar-83,1.780
Apr-83,1.520
May-83,1.460
Jun-83,1.440
Jul-83,1.410
Aug-83,1.350
Sep-83,2.531
Oct-83,1.400
Nov-83,1.515
Dec-83,1.565
Jan-84,1.635
Feb-84,1.630
Mar-84,1.690
Apr-84,1.578
May-84,1.420
