Year,Water_level
1/1/1980,4.95
2/1/1980,5.538
3/1/1980,5.363
4/1/1980,5.945
5/1/1980,4.175
6/1/1980,2.974
7/1/1980,2.753
8/1/1980,2.695
9/1/1980,2.82
10/1/1980,3.077
11/1/1980,3.42
12/1/1980,3.974
1/1/1981,4.608
2/1/1981,4.93
3/1/1981,5.812
4/1/1981,3.768
5/1/1981,4.447
6/1/1981,2.898
7/1/1981,2.44
8/1/1981,2.72
9/1/1981,2.638
10/1/1981,3.618
11/1/1981,4.37
12/1/1981,5.055
1/1/1982,5.485
2/1/1982,5.298
3/1/1982,5.71
4/1/1982,4.33
5/1/1982,3.434
6/1/1982,2.363
7/1/1982,1.793
8/1/1982,2.635
9/1/1982,2.937
10/1/1982,3.063
11/1/1982,3.948
12/1/1982,4.513
1/1/1983,5.276
2/1/1983,5.833
3/1/1983,6.113
4/1/1983,5.07
5/1/1983,3.812
6/1/1983,2.933
7/1/1983,2.56
8/1/1983,3.108
9/1/1983,3.31
10/1/1983,3.703
11/1/1983,4.277
12/1/1983,4.783
1/1/1984,3.834
2/1/1984,4.285
3/1/1984,4.658
4/1/1984,4.976
5/1/1984,5.365
6/1/1984,5.74
7/1/1984,6.034
8/1/1984,5.473
9/1/1984,5
10/1/1984,4.747
11/1/1984,4.19
12/1/1984,3.505
1/1/1985,3.295
2/1/1985,3.137
3/1/1985,2.803
4/1/1985,2.422
5/1/1985,2.153
6/1/1985,1.903
7/1/1985,2.098
8/1/1985,2.81
9/1/1985,3.475
10/1/1985,3.647
11/1/1985,1.62
12/1/1985,4.523
1/1/1986,4.863
2/1/1986,5.243
3/1/1986,5.593
4/1/1986,5.613
5/1/1986,5.05
6/1/1986,4.81
7/1/1986,3.373
8/1/1986,2.408
9/1/1986,2.146
10/1/1986,2.643
11/1/1986,3.215
12/1/1986,3.938
1/1/1987,4.575
2/1/1987,5.345
3/1/1987,5.625
4/1/1987,6.03
5/1/1987,5.476
6/1/1987,2.318
7/1/1987,1.923
8/1/1987,2.203
9/1/1987,2.407
10/1/1987,2.82
11/1/1987,3.623
12/1/1987,4.205
1/1/1988,4.904
2/1/1988,5.26
3/1/1988,5.543
4/1/1988,5.18
5/1/1988,3.604
6/1/1988,2.775
7/1/1988,2.78
8/1/1988,1.836
9/1/1988,1.523
10/1/1988,1.97
11/1/1988,2.817
12/1/1988,1.208
1/1/1989,1.708
2/1/1989,2.235
3/1/1989,2.563
4/1/1989,2.75
5/1/1989,1.79
6/1/1989,0.945
7/1/1989,0.4
8/1/1989,0
9/1/1989,0.08
10/1/1989,0.08
11/1/1989,0.38
12/1/1989,1.393
1/1/1990,1.745
2/1/1990,2.253
3/1/1990,2.59
4/1/1990,2.314
5/1/1990,1.438
6/1/1990,0.45
7/1/1990,0.573
8/1/1990,3.112
9/1/1990,1.75
10/1/1990,0.983
11/1/1990,0.29
12/1/1990,1.45
1/1/1991,1.965
2/1/1991,2.318
3/1/1991,2.68
4/1/1991,2.615
5/1/1991,1.013
6/1/1991,0.42
7/1/1991,0.61
8/1/1991,0.65
9/1/1991,0.8
10/1/1991,0.155
11/1/1991,0.13
12/1/1991,0.263
1/1/1992,1.21
2/1/1992,2.24
3/1/1992,2.625
4/1/1992,2.62
5/1/1992,2.605
6/1/1992,1.97
7/1/1992,0.61
8/1/1992,0.6
9/1/1992,0.8
10/1/1992,0.155
11/1/1992,0.736
12/1/1992,1.393
1/1/1993,2.003
2/1/1993,2.32
3/1/1993,2.393
4/1/1993,2.307
5/1/1993,1.234
6/1/1993,0.245
7/1/1993,0.573
8/1/1993,3.112
9/1/1993,1.75
10/1/1993,0.885
11/1/1993,0.762
12/1/1993,1.615
1/1/1994,2.18
2/1/1994,2.585
3/1/1994,2.458
4/1/1994,2.1
5/1/1994,1.642
6/1/1994,0.865
7/1/1994,0.2
8/1/1994,3.112
9/1/1994,1.75
10/1/1994,0.983
11/1/1994,1.608
12/1/1994,2.177
1/1/1995,2.066
2/1/1995,2.448
3/1/1995,2.758
4/1/1995,2.995
5/1/1995,2.738
6/1/1995,0.515
7/1/1995,0.56
8/1/1995,0.43
9/1/1995,0.35
10/1/1995,0.496
11/1/1995,0.98
12/1/1995,1.527
1/1/1996,2.07
2/1/1996,2.49
3/1/1996,2.615
4/1/1996,1.766
5/1/1996,0.583
6/1/1996,1.54
7/1/1996,0.29
8/1/1996,0.755
9/1/1996,0.65
10/1/1996,0.51
11/1/1996,0.93
12/1/1996,1.492
1/1/1997,1.994
2/1/1997,2.345
3/1/1997,2.6
4/1/1997,1.88
5/1/1997,2.605
6/1/1997,1.97
7/1/1997,0.98
8/1/1997,0.98
9/1/1997,0.08
10/1/1997,0.05
11/1/1997,0.26
12/1/1997,1.116
1/1/1998,2.028
2/1/1998,2.418
3/1/1998,2.75
4/1/1998,2.4
5/1/1998,2.043
6/1/1998,1.55
7/1/1998,0.61
8/1/1998,0.56
9/1/1998,0.56
10/1/1998,0.448
11/1/1998,1.244
12/1/1998,1.808
1/1/1999,3.74
2/1/1999,3.885
3/1/1999,2.948
4/1/1999,3.08
5/1/1999,2.42
6/1/1999,1.385
7/1/1999,0.54
8/1/1999,0.755
9/1/1999,0.28
10/1/1999,0.612
11/1/1999,0.945
12/1/1999,1.343
1/1/2000,1.912
2/1/2000,2.345
3/1/2000,2.785
4/1/2000,2.61
5/1/2000,1.42
6/1/2000,0.17
7/1/2000,0.187
8/1/2000,0.36
9/1/2000,0.955
10/1/2000,1.438
11/1/2000,2.125
12/1/2000,2.53
1/1/2001,2.643
2/1/2001,2.963
3/1/2001,3.098
4/1/2001,3.065
5/1/2001,2.213
6/1/2001,0.79
7/1/2001,0.153
8/1/2001,0.04
9/1/2001,0.545
10/1/2001,1.71
11/1/2001,2.085
12/1/2001,2.72
1/1/2002,1.795
2/1/2002,2.24
3/1/2002,2.625
4/1/2002,2.62
5/1/2002,2.605
6/1/2002,1.97
7/1/2002,0.61
8/1/2002,0.56
9/1/2002,0.25
10/1/2002,0.155
11/1/2002,0.736
12/1/2002,1.393
1/1/2003,2.468
2/1/2003,2.908
3/1/2003,3.446
4/1/2003,1.87
5/1/2003,1.056
6/1/2003,0.95
7/1/2003,1.19
8/1/2003,3.773
9/1/2003,4.035
10/1/2003,2.208
11/1/2003,1.62
12/1/2003,2.148
1/1/2004,2.543
2/1/2004,3
3/1/2004,2.833
4/1/2004,2.123
5/1/2004,1.553
6/1/2004,0.69
7/1/2004,0.573
8/1/2004,3.112
9/1/2004,1.75
10/1/2004,0.983
11/1/2004,1.608
12/1/2004,2.177
1/1/2005,2.594
2/1/2005,2.963
3/1/2005,3.233
4/1/2005,2.8
5/1/2005,2.1
6/1/2005,0.54
7/1/2005,0.2
8/1/2005,0.645
9/1/2005,0.955
10/1/2005,1.438
11/1/2005,2.125
12/1/2005,2.53
1/1/2006,2.794
2/1/2006,3.208
3/1/2006,3.493
4/1/2006,2.43
5/1/2006,1.535
6/1/2006,1.54
7/1/2006,0.29
8/1/2006,0.755
9/1/2006,0.28
10/1/2006,0.612
11/1/2006,1.348
12/1/2006,2
1/1/2007,2.463
2/1/2007,2.878
3/1/2007,3.142
4/1/2007,2.117
5/1/2007,2.28
6/1/2007,2.185
7/1/2007,0.38
8/1/2007,0
9/1/2007,0.902
10/1/2007,1.113
11/1/2007,1.627
12/1/2007,2.136
1/1/2008,2.643
2/1/2008,2.963
3/1/2008,3.098
4/1/2008,3.17
5/1/2008,2.213
6/1/2008,0.79
7/1/2008,0.153
8/1/2008,0.04
9/1/2008,0.545
10/1/2008,1.71
11/1/2008,2.085
12/1/2008,2.72
1/1/2009,2.468
2/1/2009,2.908
3/1/2009,3.446
4/1/2009,1.87
5/1/2009,1.056
6/1/2009,0.95
7/1/2009,1.19
8/1/2009,1.55
9/1/2009,3.103
10/1/2009,5.27
11/1/2009,1.122
12/1/2009,1.398
1/1/2010,1.79
2/1/2010,2.338
3/1/2010,1.187
4/1/2010,0.585
5/1/2010,0.426
6/1/2010,0.498
7/1/2010,0.17
8/1/2010,3.112
9/1/2010,0.25
10/1/2010,0.71
11/1/2010,1.608
12/1/2010,2.177
