Year,Water_level
Jan-75,5.235
Feb-75,5.293
Mar-75,5.870
Apr-75,4.170
May-75,2.392
Jun-75,2.375
Jul-75,1.873
Aug-75,2.643
Sep-75,2.305
Oct-75,2.998
Nov-75,4.028
Dec-75,4.578
Jan-76,5.228
Feb-76,5.018
Mar-76,4.080
Apr-76,2.948
May-76,2.376
Jun-76,2.270
Jul-76,2.230
Aug-76,2.563
Sep-76,3.000
Oct-76,3.100
Nov-76,4.052
Dec-76,4.788
Jan-77,5.396
Feb-77,5.870
Mar-77,5.530
Apr-77,2.545
May-77,2.480
Jun-77,2.390
Jul-77,2.070
Aug-77,2.490
Sep-77,3.347
Oct-77,4.020
Nov-77,3.585
Dec-77,4.628
Jan-78,5.158
Feb-78,5.597
Mar-78,5.950
Apr-78,6.377
May-78,4.884
Jun-78,2.420
Jul-78,2.078
Aug-78,2.710
Sep-78,2.970
Oct-78,3.108
Nov-78,4.263
Dec-78,5.007
Jan-79,5.398
Feb-79,6.057
Mar-79,6.300
Apr-79,6.113
May-79,4.195
Jun-79,2.600
Jul-79,1.628
Aug-79,2.050
Sep-79,2.323
Oct-79,3.243
Nov-79,4.308
Dec-79,4.766
Jan-80,5.153
Feb-80,5.590
Mar-80,5.513
Apr-80,3.760
May-80,2.210
Jun-80,2.622
Jul-80,2.235
Aug-80,2.348
Sep-80,2.700
Oct-80,3.297
Nov-80,4.040
Dec-80,4.672
Jan-81,5.175
Feb-81,5.573
Mar-81,5.390
Apr-81,3.665
May-81,2.947
Jun-81,2.683
Jul-81,2.178
Aug-81,2.177
Sep-81,2.595
Oct-81,3.600
Nov-81,4.453
Dec-81,4.680
Jan-82,5.487
Feb-82,6.058
Mar-82,6.545
Apr-82,3.393
May-82,2.912
Jun-82,2.465
Jul-82,1.837
Aug-82,2.420
Sep-82,2.710
Oct-82,3.563
Nov-82,4.446
Dec-82,5.070
Jan-83,5.216
Feb-83,5.935
Mar-83,5.105
Apr-83,3.985
May-83,2.760
Jun-83,2.335
Jul-83,2.220
Aug-83,2.113
Sep-83,2.305
Oct-83,3.074
Nov-83,4.180
Dec-83,4.740
Jan-84,5.254
Feb-84,5.778
Mar-84,6.138
Apr-84,4.416
May-84,2.368
