Year,Water_level
1/1/1980,2.608
2/1/1980,2.818
3/1/1980,2.992
4/1/1980,2.940
5/1/1980,2.410
6/1/1980,2.013
7/1/1980,1.795
8/1/1980,1.685
9/1/1980,1.547
10/1/1980,1.830
11/1/1980,1.970
12/1/1980,2.223
1/1/1981,2.510
2/1/1981,2.683
3/1/1981,2.846
4/1/1981,2.715
5/1/1981,2.205
6/1/1981,1.953
7/1/1981,1.725
8/1/1981,1.577
9/1/1981,1.570
10/1/1981,1.830
11/1/1981,2.220
12/1/1981,2.278
1/1/1982,2.773
2/1/1982,3.003
3/1/1982,3.190
4/1/1982,3.367
5/1/1982,2.473
6/1/1982,2.135
7/1/1982,1.828
8/1/1982,1.585
9/1/1982,1.670
10/1/1982,1.780
11/1/1982,1.950
12/1/1982,2.250
1/1/1983,2.806
2/1/1983,2.500
3/1/1983,3.498
4/1/1983,1.657
5/1/1983,1.852
6/1/1983,2.635
7/1/1983,1.638
8/1/1983,1.318
9/1/1983,1.147
10/1/1983,1.663
11/1/1983,1.950
12/1/1983,2.153
1/1/1984,2.492
2/1/1984,2.685
3/1/1984,2.947
4/1/1984,3.088
5/1/1984,2.520
6/1/1984,2.215
7/1/1984,2.023
8/1/1984,2.870
9/1/1984,1.610
10/1/1984,1.707
11/1/1984,2.223
12/1/1984,2.247
1/1/1985,2.460
2/1/1985,2.573
3/1/1985,2.725
4/1/1985,2.544
5/1/1985,2.203
6/1/1985,1.783
7/1/1985,1.388
8/1/1985,1.535
9/1/1985,1.617
10/1/1985,1.740
11/1/1985,2.070
12/1/1985,2.360
1/1/1986,2.653
2/1/1986,2.800
3/1/1986,3.030
4/1/1986,3.155
5/1/1986,2.820
6/1/1986,2.545
7/1/1986,2.260
8/1/1986,2.098
9/1/1986,1.938
10/1/1986,1.788
11/1/1986,1.700
12/1/1986,2.015
1/1/1987,2.310
2/1/1987,2.535
3/1/1987,2.732
4/1/1987,2.615
5/1/1987,2.330
6/1/1987,1.993
7/1/1987,1.790
8/1/1987,1.578
9/1/1987,1.520
10/1/1987,1.470
11/1/1987,1.788
12/1/1987,2.080
1/1/1988,2.300
2/1/1988,2.596
3/1/1988,2.575
4/1/1988,2.530
5/1/1988,2.130
6/1/1988,1.850
7/1/1988,1.530
8/1/1988,1.258
9/1/1988,1.110
10/1/1988,1.493
11/1/1988,1.970
12/1/1988,2.045
1/1/1989,2.125
2/1/1989,2.323
3/1/1989,2.488
4/1/1989,2.640
5/1/1989,2.410
6/1/1989,1.980
7/1/1989,1.836
8/1/1989,1.290
9/1/1989,1.360
10/1/1989,1.420
11/1/1989,1.725
12/1/1989,2.025
1/1/1990,2.346
2/1/1990,2.593
3/1/1990,2.760
4/1/1990,2.545
5/1/1990,2.130
6/1/1990,1.900
7/1/1990,1.672
8/1/1990,1.525
9/1/1990,1.523
10/1/1990,1.470
11/1/1990,1.900
12/1/1990,2.070
1/1/1991,2.340
2/1/1991,2.473
3/1/1991,2.570
4/1/1991,2.610
5/1/1991,1.750
6/1/1991,1.227
7/1/1991,1.280
8/1/1991,1.493
9/1/1991,1.320
10/1/1991,1.615
11/1/1991,1.830
12/1/1991,2.097
1/1/1992,2.215
2/1/1992,2.290
3/1/1992,2.865
4/1/1992,2.310
5/1/1992,2.000
6/1/1992,1.875
7/1/1992,1.775
8/1/1992,1.633
9/1/1992,1.580
10/1/1992,1.770
11/1/1992,1.830
12/1/1992,2.135
1/1/1993,2.340
2/1/1993,2.450
3/1/1993,2.285
4/1/1993,2.220
5/1/1993,1.928
6/1/1993,1.303
7/1/1993,1.073
8/1/1993,0.970
9/1/1993,1.320
10/1/1993,1.488
11/1/1993,1.725
12/1/1993,2.090
1/1/1994,2.442
2/1/1994,2.755
3/1/1994,2.823
4/1/1994,2.450
5/1/1994,2.188
6/1/1994,1.975
7/1/1994,1.855
8/1/1994,1.754
9/1/1994,1.570
10/1/1994,1.800
11/1/1994,2.080
12/1/1994,2.417
1/1/1995,2.652
2/1/1995,2.930
3/1/1995,3.155
4/1/1995,3.147
5/1/1995,2.728
6/1/1995,2.370
7/1/1995,1.964
8/1/1995,1.725
9/1/1995,1.593
10/1/1995,1.740
11/1/1995,1.950
12/1/1995,2.097
1/1/1996,2.254
2/1/1996,2.468
3/1/1996,2.475
4/1/1996,2.255
5/1/1996,2.048
6/1/1996,1.915
7/1/1996,1.740
8/1/1996,1.620
9/1/1996,1.580
10/1/1996,1.747
11/1/1996,1.830
12/1/1996,2.230
1/1/1997,2.440
2/1/1997,2.628
3/1/1997,2.812
4/1/1997,3.000
5/1/1997,2.915
6/1/1997,2.266
7/1/1997,1.998
8/1/1997,1.717
9/1/1997,1.720
10/1/1997,1.770
11/1/1997,1.930
12/1/1997,2.215
1/1/1998,2.545
2/1/1998,2.730
3/1/1998,2.847
4/1/1998,2.700
5/1/1998,2.313
6/1/1998,1.910
7/1/1998,1.575
8/1/1998,1.317
9/1/1998,1.370
10/1/1998,1.687
11/1/1998,2.053
12/1/1998,2.285
1/1/1999,2.538
2/1/1999,2.770
3/1/1999,3.008
4/1/1999,3.288
5/1/1999,3.167
6/1/1999,2.515
7/1/1999,2.215
8/1/1999,1.895
9/1/1999,1.683
10/1/1999,1.705
11/1/1999,1.793
12/1/1999,2.287
1/1/2000,2.535
2/1/2000,2.710
3/1/2000,2.700
4/1/2000,2.530
5/1/2000,2.182
6/1/2000,1.730
7/1/2000,1.600
8/1/2000,1.500
9/1/2000,1.237
10/1/2000,1.455
11/1/2000,1.795
12/1/2000,1.973
1/1/2001,2.352
2/1/2001,2.630
3/1/2001,2.775
4/1/2001,2.758
5/1/2001,2.577
6/1/2001,2.015
7/1/2001,1.717
8/1/2001,1.671
9/1/2001,1.720
10/1/2001,1.730
11/1/2001,1.785
12/1/2001,2.005
1/1/2002,2.690
2/1/2002,2.417
3/1/2002,2.618
4/1/2002,2.680
5/1/2002,2.270
6/1/2002,1.793
7/1/2002,2.137
8/1/2002,1.250
9/1/2002,1.520
10/1/2002,1.590
11/1/2002,1.900
12/1/2002,1.880
1/1/2003,1.753
2/1/2003,2.420
3/1/2003,2.708
4/1/2003,2.600
5/1/2003,2.253
6/1/2003,1.978
7/1/2003,1.690
8/1/2003,1.620
9/1/2003,1.980
10/1/2003,1.720
11/1/2003,1.940
12/1/2003,2.230
1/1/2004,2.440
2/1/2004,2.697
3/1/2004,2.958
4/1/2004,2.700
5/1/2004,2.210
6/1/2004,1.983
7/1/2004,1.475
8/1/2004,1.050
9/1/2004,1.400
10/1/2004,1.500
11/1/2004,2.000
12/1/2004,2.400
1/1/2005,2.508
2/1/2005,2.750
3/1/2005,2.846
4/1/2005,2.300
5/1/2005,1.157
6/1/2005,1.900
7/1/2005,1.700
8/1/2005,1.577
9/1/2005,1.570
10/1/2005,1.830
11/1/2005,3.520
12/1/2005,3.643
1/1/2006,4.100
2/1/2006,3.083
3/1/2006,3.017
4/1/2006,2.800
5/1/2006,2.450
6/1/2006,1.900
7/1/2006,1.600
8/1/2006,1.585
9/1/2006,1.670
10/1/2006,1.900
11/1/2006,2.200
12/1/2006,1.950
1/1/2007,2.526
2/1/2007,3.230
3/1/2007,3.283
4/1/2007,3.100
5/1/2007,2.693
6/1/2007,2.200
7/1/2007,1.900
8/1/2007,3.295
9/1/2007,1.250
10/1/2007,1.650
11/1/2007,2.223
12/1/2007,2.000
1/1/2008,2.150
2/1/2008,2.350
3/1/2008,2.500
4/1/2008,2.210
5/1/2008,1.938
6/1/2008,1.850
7/1/2008,1.530
8/1/2008,1.700
9/1/2008,1.500
10/1/2008,1.657
11/1/2008,1.890
12/1/2008,2.000
1/1/2009,2.450
2/1/2009,2.650
3/1/2009,2.800
4/1/2009,2.743
5/1/2009,2.205
6/1/2009,2.050
7/1/2009,1.850
8/1/2009,1.700
9/1/2009,1.570
10/1/2009,1.830
11/1/2009,2.020
12/1/2009,2.250
1/1/2010,1.833
2/1/2010,2.750
3/1/2010,2.450
4/1/2010,2.700
5/1/2010,2.150
6/1/2010,1.367
7/1/2010,1.600
8/1/2010,1.500
9/1/2010,1.237
10/1/2010,1.455
11/1/2010,1.750
12/1/2010,2.150
