Year,Water_level
1/1/1980,2.4
2/1/1980,2.49
3/1/1980,2.83
4/1/1980,3.15
5/1/1980,2.67
6/1/1980,2.31
7/1/1980,2.25
8/1/1980,2.21
9/1/1980,2.03
10/1/1980,2.47
11/1/1980,2.54
12/1/1980,2.67
1/1/1981,2.77
2/1/1981,2.84
3/1/1981,2.59
4/1/1981,2.39
5/1/1981,2.55
6/1/1981,2.24
7/1/1981,2.19
8/1/1981,2.15
9/1/1981,2.06
10/1/1981,2.36
11/1/1981,2.53
12/1/1981,2.63
1/1/1982,2.7
2/1/1982,2.81
3/1/1982,2.88
4/1/1982,2.59
5/1/1982,2.95
6/1/1982,2.97
7/1/1982,2.4
8/1/1982,2.24
9/1/1982,2.41
10/1/1982,2.54
11/1/1982,2.48
12/1/1982,2.72
1/1/1983,2.86
2/1/1983,2.93
3/1/1983,2.57
4/1/1983,2.26
5/1/1983,2.01
6/1/1983,2.64
7/1/1983,2.61
8/1/1983,2.54
9/1/1983,2.23
10/1/1983,2.29
11/1/1983,2.65
12/1/1983,2.72
1/1/1984,2.74
2/1/1984,2.84
3/1/1984,2.57
4/1/1984,2.39
5/1/1984,1.57
6/1/1984,1.95
7/1/1984,2.15
8/1/1984,2.21
9/1/1984,2.03
10/1/1984,2.47
11/1/1984,2.65
12/1/1984,2.72
1/1/1985,2.82
2/1/1985,2.84
3/1/1985,2.87
4/1/1985,2.74
5/1/1985,2.44
6/1/1985,2.25
7/1/1985,2.29
8/1/1985,2.56
9/1/1985,2.65
10/1/1985,2.74
11/1/1985,2.65
12/1/1985,2.92
1/1/1986,2.96
2/1/1986,3.04
3/1/1986,2.95
4/1/1986,2.86
5/1/1986,2.82
6/1/1986,2.74
7/1/1986,2.57
8/1/1986,2.56
9/1/1986,2.51
10/1/1986,2.46
11/1/1986,2.65
12/1/1986,2.62
1/1/1987,2.67
2/1/1987,2.74
3/1/1987,2.72
4/1/1987,2.39
5/1/1987,1.57
6/1/1987,2.53
7/1/1987,2.41
8/1/1987,2.35
9/1/1987,2.03
10/1/1987,2.55
11/1/1987,2.65
