Year,Water_level
Jan-80,4.280
Feb-80,4.590
Mar-80,4.538
Apr-80,4.577
May-80,4.250
Jun-80,4.020
Jul-80,3.595
Aug-80,3.400
Sep-80,3.290
Oct-80,3.550
Nov-80,3.735
Dec-80,3.728
Jan-81,3.985
Feb-81,4.195
Mar-81,4.305
Apr-81,4.363
May-81,4.190
Jun-81,3.940
Jul-81,3.508
Aug-81,3.243
Sep-81,2.968
Oct-81,3.365
Nov-81,3.630
Dec-81,3.907
Jan-82,4.183
Feb-82,4.355
Mar-82,4.498
Apr-82,4.397
May-82,4.120
Jun-82,4.093
Jul-82,3.203
Aug-82,3.368
Sep-82,3.473
Oct-82,3.470
Nov-82,3.823
Dec-82,3.970
Jan-83,4.225
Feb-83,4.438
Mar-83,4.490
Apr-83,4.185
May-83,3.983
Jun-83,3.913
Jul-83,3.393
Aug-83,3.015
Sep-83,2.940
Oct-83,3.080
Nov-83,3.285
Dec-83,3.575
Jan-84,3.790
Feb-84,4.058
Mar-84,4.253
Apr-84,4.355
May-84,3.350
Jun-84,3.237
Jul-84,3.288
Aug-84,3.375
Sep-84,3.043
Oct-84,3.265
Nov-84,3.533
Dec-84,3.800
Jan-85,4.010
Feb-85,4.190
Mar-85,4.310
Apr-85,4.030
May-85,4.090
Jun-85,3.195
Jul-85,3.193
Aug-85,3.120
Sep-85,3.007
Oct-85,3.068
Nov-85,3.500
Dec-85,3.752
Jan-86,4.000
Feb-86,4.248
Mar-86,4.298
Apr-86,4.515
May-86,4.383
Jun-86,4.310
Jul-86,3.948
Aug-86,3.733
Sep-86,3.610
Oct-86,3.215
Nov-86,3.550
Dec-86,3.830
Jan-87,4.055
Feb-87,4.225
Mar-87,4.372
Apr-87,4.320
May-87,2.775
Jun-87,3.330
Jul-87,3.470
Aug-87,3.232
Sep-87,2.765
Oct-87,3.195
Nov-87,3.460
Dec-87,3.680
Jan-88,3.983
Feb-88,4.177
Mar-88,4.317
Apr-88,4.410
May-88,4.170
Jun-88,3.370
Jul-88,3.375
Aug-88,3.120
Sep-88,2.940
Oct-88,3.068
Nov-88,3.220
Dec-88,3.540
Jan-89,3.834
Feb-89,4.033
Mar-89,4.227
Apr-89,4.295
May-89,3.945
Jun-89,3.640
Jul-89,3.133
Aug-89,2.737
Sep-89,2.915
Oct-89,2.855
Nov-89,3.183
Dec-89,3.550
Jan-90,3.758
Feb-90,3.313
Mar-90,4.120
Apr-90,4.025
May-90,3.780
Jun-90,3.385
Jul-90,2.975
Aug-90,2.627
Sep-90,2.853
Oct-90,2.590
Nov-90,3.080
Dec-90,3.203
Jan-91,3.723
Feb-91,3.950
Mar-91,4.110
Apr-91,4.210
May-91,3.887
Jun-91,3.220
Jul-91,2.878
Aug-91,2.790
Sep-91,2.753
Oct-91,2.580
Nov-91,3.080
Dec-91,3.348
Jan-92,3.598
Feb-92,3.838
Mar-92,3.970
Apr-92,4.060
May-92,3.350
Jun-92,3.630
Jul-92,3.263
Aug-92,3.260
Sep-92,2.950
Oct-92,3.100
Nov-92,3.395
Dec-92,3.575
Jan-93,3.840
Feb-93,3.997
Mar-93,3.907
Apr-93,3.995
May-93,3.476
Jun-93,4.000
Jul-93,2.878
Aug-93,2.790
Sep-93,2.753
Oct-93,2.580
Nov-93,3.080
Dec-93,3.348
Jan-94,3.340
Feb-94,4.173
Mar-94,4.405
Apr-94,4.580
May-94,4.540
Jun-94,4.090
Jul-94,3.868
Aug-94,3.625
Sep-94,3.760
Oct-94,3.640
Nov-94,4.017
Dec-94,4.225
Jan-95,4.480
Feb-95,4.693
Mar-95,4.840
Apr-95,4.940
May-95,4.750
Jun-95,4.270
Jul-95,4.066
Aug-95,3.890
Sep-95,3.568
Oct-95,3.880
Nov-95,4.063
Dec-95,4.280
Jan-96,4.340
Feb-96,4.593
Mar-96,4.568
Apr-96,4.573
May-96,4.073
Jun-96,4.048
Jul-96,3.698
Aug-96,3.603
Sep-96,3.473
Oct-96,3.550
Nov-96,3.820
Dec-96,4.110
Jan-97,4.568
Feb-97,4.565
Mar-97,4.755
Apr-97,4.873
May-97,4.910
Jun-97,4.530
Jul-97,4.073
Aug-97,3.968
Sep-97,3.766
Oct-97,3.575
Nov-97,4.135
Dec-97,4.365
Jan-98,4.594
Feb-98,4.710
Mar-98,4.820
Apr-98,4.805
May-98,4.520
Jun-98,4.182
Jul-98,3.730
Aug-98,3.456
Sep-98,3.680
Oct-98,3.680
Nov-98,4.127
Dec-98,4.418
Jan-99,4.668
Feb-99,4.843
Mar-99,4.965
Apr-99,4.790
May-99,4.680
Jun-99,4.410
Jul-99,4.400
