Year,Water_level
1/1/1980,3.04
2/1/1980,3.1
3/1/1980,3.19
4/1/1980,3.303
5/1/1980,2.96
6/1/1980,2.882
7/1/1980,2.687
8/1/1980,2.555
9/1/1980,2.615
10/1/1980,2.76
11/1/1980,3.005
12/1/1980,3.115
1/1/1981,3.023
2/1/1981,3.1
3/1/1981,3.1
4/1/1981,2.945
5/1/1981,2.95
6/1/1981,3.055
7/1/1981,2.708
8/1/1981,2.555
9/1/1981,2.44
10/1/1981,2.72
11/1/1981,2.9
12/1/1981,3.115
1/1/1982,3.1
2/1/1982,3.06
3/1/1982,2.995
4/1/1982,3.15
5/1/1982,3.17
6/1/1982,3.055
7/1/1982,2.678
8/1/1982,2.543
9/1/1982,2.665
10/1/1982,2.78
11/1/1982,2.92
12/1/1982,3.36
1/1/1983,3.085
2/1/1983,3.085
3/1/1983,2.76
4/1/1983,3.325
5/1/1983,2.744
6/1/1983,2.925
7/1/1983,2.715
8/1/1983,2.105
9/1/1983,2.38
10/1/1983,2.565
11/1/1983,2.815
12/1/1983,2.975
1/1/1984,3.065
2/1/1984,3.1
3/1/1984,3.24
4/1/1984,3.325
5/1/1984,3.17
6/1/1984,3.055
7/1/1984,2.585
8/1/1984,2.627
9/1/1984,2.39
10/1/1984,2.76
11/1/1984,3.005
12/1/1984,3.115
1/1/1985,3.34
2/1/1985,3.425
3/1/1985,3.36
4/1/1985,3.243
5/1/1985,3.27
6/1/1985,2.893
7/1/1985,2.743
8/1/1985,2.775
9/1/1985,2.39
10/1/1985,2.905
11/1/1985,2.993
12/1/1985,3.153
1/1/1986,3.393
2/1/1986,3.675
3/1/1986,3.702
4/1/1986,3.813
5/1/1986,3.493
6/1/1986,3.093
7/1/1986,3.4
8/1/1986,3.28
9/1/1986,3.146
10/1/1986,2.983
11/1/1986,3.06
12/1/1986,3.04
1/1/1987,3.233
2/1/1987,3.353
3/1/1987,3.405
4/1/1987,3.093
5/1/1987,3.5
6/1/1987,3.183
7/1/1987,3.005
8/1/1987,2.625
9/1/1987,2.797
10/1/1987,2.955
11/1/1987,3.005
12/1/1987,3.14
1/1/1988,3.07
2/1/1988,3.424
3/1/1988,3.54
4/1/1988,3.643
5/1/1988,3.127
6/1/1988,2.993
7/1/1988,2.648
8/1/1988,2.873
9/1/1988,2.66
10/1/1988,2.76
11/1/1988,2.2
12/1/1988,3.32
1/1/1989,3.486
2/1/1989,3.54
3/1/1989,3.708
4/1/1989,4.335
5/1/1989,4.65
6/1/1989,3.093
7/1/1989,2.95
8/1/1989,2.98
9/1/1989,2.733
