Year,Water_level
Jan-80,2.543
Feb-80,2.545
Mar-80,2.842
Apr-80,2.910
May-80,2.715
Jun-80,2.395
Jul-80,2.183
Aug-80,1.993
Sep-80,1.960
Oct-80,1.920
Nov-80,2.025
Dec-80,2.120
Jan-81,2.423
Feb-81,2.593
Mar-81,2.397
Apr-81,2.790
May-81,2.693
Jun-81,1.893
Jul-81,2.240
Aug-81,1.986
Sep-81,1.850
Oct-81,1.928
Nov-81,2.035
Dec-81,2.393
Jan-82,2.568
Feb-82,2.703
Mar-82,2.926
Apr-82,3.050
May-82,3.013
Jun-82,2.820
Jul-82,2.410
Aug-82,2.095
Sep-82,2.000
Oct-82,2.077
Nov-82,2.288
Dec-82,2.425
Jan-83,2.630
Feb-83,2.810
Mar-83,2.875
Apr-83,2.873
May-83,2.583
Jun-83,2.380
Jul-83,2.188
Aug-83,1.864
Sep-83,1.755
Oct-83,1.665
Nov-83,2.013
Dec-83,2.233
Jan-84,2.420
Feb-84,2.605
Mar-84,2.755
Apr-84,2.950
May-84,2.855
Jun-84,2.450
Jul-84,2.344
Aug-84,2.158
Sep-84,2.063
Oct-84,2.050
Nov-84,2.260
Dec-84,2.353
Jan-85,2.578
Feb-85,2.690
Mar-85,2.803
Apr-85,2.792
May-85,2.730
Jun-85,2.418
Jul-85,2.178
Aug-85,2.093
Sep-85,2.037
Oct-85,2.037
Nov-85,2.280
Dec-85,2.434
Jan-86,2.653
Feb-86,2.825
Mar-86,3.034
Apr-86,3.170
May-86,3.090
Jun-86,3.340
Jul-86,2.853
Aug-86,2.653
Sep-86,2.674
Oct-86,2.275
Nov-86,2.263
Dec-86,2.388
Jan-87,2.560
Feb-87,2.673
Mar-87,2.813
Apr-87,2.887
May-87,2.795
Jun-87,2.635
Jul-87,2.363
Aug-87,1.990
Sep-87,1.947
Oct-87,1.900
Nov-87,2.158
Dec-87,2.375
Jan-88,2.523
Feb-88,2.653
Mar-88,2.813
Apr-88,2.968
May-88,2.838
Jun-88,2.567
Jul-88,2.155
Aug-88,1.864
Sep-88,1.718
Oct-88,1.765
Nov-88,2.013
Dec-88,2.157
Jan-89,2.586
Feb-89,2.808
Mar-89,2.928
Apr-89,3.100
May-89,2.943
Jun-89,2.738
Jul-89,2.368
Aug-89,1.933
Sep-89,1.950
Oct-89,2.033
Nov-89,2.258
Dec-89,2.493
Jan-90,2.866
Feb-90,3.297
Mar-90,3.248
Apr-90,2.983
May-90,2.717
Jun-90,2.365
Jul-90,2.147
Aug-90,2.200
Sep-90,2.270
Oct-90,2.330
Nov-90,2.370
Dec-90,2.473
Jan-91,2.573
Feb-91,2.678
Mar-91,2.873
Apr-91,3.020
May-91,2.063
Jun-91,2.070
Jul-91,1.995
Aug-91,2.143
Sep-91,2.310
Oct-91,2.180
Nov-91,1.915
Dec-91,2.397
Jan-92,3.038
Feb-92,2.950
Mar-92,2.975
Apr-92,2.680
May-92,2.690
Jun-92,2.503
Jul-92,2.337
Aug-92,2.154
Sep-92,2.253
Oct-92,2.280
Nov-92,2.260
Dec-92,2.375
Jan-93,2.357
Feb-93,2.460
Mar-93,2.573
Apr-93,2.270
May-93,1.810
Jun-93,1.285
Jul-93,0.870
Aug-93,0.750
Sep-93,1.413
Oct-93,1.303
Nov-93,1.387
Dec-93,1.610
Jan-94,3.805
Feb-94,3.823
Mar-94,3.790
Apr-94,3.580
May-94,3.328
Jun-94,3.148
Jul-94,2.778
Aug-94,2.523
Sep-94,2.435
Oct-94,2.530
Nov-94,2.635
Dec-94,2.760
Jan-95,3.222
Feb-95,3.470
Mar-95,3.207
Apr-95,2.918
May-95,2.715
Jun-95,2.670
Jul-95,2.440
Aug-95,2.350
Sep-95,2.263
Oct-95,2.403
Nov-95,2.565
Dec-95,2.680
Jan-96,2.855
Feb-96,2.990
Mar-96,3.138
Apr-96,3.295
May-96,3.135
Jun-96,3.060
Jul-96,2.765
Aug-96,2.470
Sep-96,2.443
Oct-96,2.418
Nov-96,2.570
Dec-96,2.693
Jan-97,2.838
Feb-97,2.940
Mar-97,3.042
Apr-97,3.060
May-97,2.970
Jun-97,2.825
Jul-97,2.465
Aug-97,2.140
Sep-97,2.063
Oct-97,2.355
Nov-97,2.518
Dec-97,2.710
Jan-98,3.043
Feb-98,3.133
Mar-98,3.283
Apr-98,3.445
May-98,3.465
Jun-98,3.255
Jul-98,2.870
Aug-98,2.520
Sep-98,2.375
Oct-98,2.340
Nov-98,2.518
Dec-98,2.727
Jan-99,2.874
Feb-99,3.023
Mar-99,3.090
Apr-99,3.155
May-99,2.840
Jun-99,2.538
Jul-99,2.330
Aug-99,2.235
Sep-99,2.107
Oct-99,2.078
Nov-99,2.430
Dec-99,2.680
Jan-00,3.145
Feb-00,3.030
Mar-00,3.127
Apr-00,3.173
May-00,3.130
Jun-00,2.800
Jul-00,2.508
Aug-00,2.355
Sep-00,2.347
Oct-00,2.345
Nov-00,2.425
Dec-00,2.633
Jan-01,2.938
Feb-01,3.258
Mar-01,3.460
Apr-01,3.314
May-01,3.043
Jun-01,2.750
Jul-01,2.466
Aug-01,2.163
Sep-01,2.303
Oct-01,2.453
Nov-01,2.537
Dec-01,2.700
Jan-02,2.835
Feb-02,2.997
Mar-02,3.082
Apr-02,3.130
May-02,2.960
Jun-02,2.726
Jul-02,2.397
Aug-02,2.297
Sep-02,2.270
Oct-02,2.330
Nov-02,2.443
Dec-02,2.658
Jan-03,2.787
Feb-03,2.900
Mar-03,3.143
Apr-03,3.100
May-03,2.895
Jun-03,2.678
Jul-03,2.428
Aug-03,2.273
Sep-03,2.190
Oct-03,2.350
Nov-03,2.515
Dec-03,2.715
Jan-04,3.156
Feb-04,3.427
Mar-04,3.325
Apr-04,3.160
May-04,2.810
Jun-04,2.513
Jul-04,2.563
Aug-04,2.337
Sep-04,2.440
Oct-04,2.475
Nov-04,2.568
Dec-04,2.693
Jan-05,3.007
Feb-05,3.130
Mar-05,3.190
Apr-05,3.330
May-05,3.287
Jun-05,3.175
Jul-05,2.560
Aug-05,2.443
Sep-05,2.443
Oct-05,2.418
Nov-05,2.735
Dec-05,2.890
Jan-06,3.170
Feb-06,3.240
Mar-06,2.880
Apr-06,3.463
May-06,3.305
Jun-06,3.115
Jul-06,2.663
Aug-06,2.365
Sep-06,2.230
Oct-06,2.393
Nov-06,3.867
Dec-06,3.965
Jan-07,2.735
Feb-07,2.515
Mar-07,2.936
Apr-07,3.267
May-07,3.150
Jun-07,3.070
Jul-07,2.755
Aug-07,2.600
Sep-07,2.674
Oct-07,2.275
Nov-07,2.263
Dec-07,2.388
Jan-08,2.805
Feb-08,2.923
Mar-08,3.040
Apr-08,3.277
May-08,3.230
Jun-08,3.070
Jul-08,2.890
Aug-08,2.470
Sep-08,2.443
Oct-08,2.418
Nov-08,2.600
Dec-08,2.250
Jan-09,3.030
Feb-09,3.113
Mar-09,3.252
Apr-09,3.333
May-09,2.985
Jun-09,2.368
Jul-09,2.170
Aug-09,2.080
Sep-09,2.460
Oct-09,1.940
Nov-09,2.253
Dec-09,2.423
Jan-10,2.670
Feb-10,2.835
Mar-10,2.970
Apr-10,3.155
May-10,3.278
Jun-10,2.880
Jul-10,2.663
Aug-10,2.365
Sep-10,2.230
Oct-10,2.393
Nov-10,2.613
Dec-10,2.850
