Year,Water_level
Jan-76,1.900
Feb-76,2.000
Mar-76,2.150
Apr-76,1.873
May-76,1.800
Jun-76,1.500
Jul-76,1.530
Aug-76,1.680
Sep-76,0.920
Oct-76,1.237
Nov-76,1.698
Dec-76,1.697
Jan-77,1.940
Feb-77,2.055
Mar-77,2.225
Apr-77,1.980
May-77,1.830
Jun-77,1.555
Jul-77,1.643
Aug-77,1.700
Sep-77,4.105
Oct-77,1.750
Nov-77,1.830
Dec-77,1.835
Jan-78,1.907
Feb-78,2.113
Mar-78,2.270
Apr-78,2.365
May-78,2.490
Jun-78,2.360
Jul-78,1.697
Aug-78,1.840
Sep-78,4.105
Oct-78,4.315
Nov-78,4.653
Dec-78,4.560
Jan-79,1.488
Feb-79,1.295
Mar-79,1.967
Apr-79,1.980
May-79,4.243
Jun-79,2.205
Jul-79,2.590
Aug-79,2.415
Sep-79,2.190
Oct-79,4.315
Nov-79,4.653
Dec-79,4.560
Jan-80,2.045
Feb-80,1.855
Mar-80,1.705
Apr-80,4.353
May-80,1.920
Jun-80,4.293
Jul-80,4.045
Aug-80,3.950
Sep-80,4.105
Oct-80,4.315
Nov-80,4.653
Dec-80,1.555
Jan-81,1.555
Feb-81,2.373
Mar-81,2.123
Apr-81,1.705
May-81,1.470
Jun-81,1.395
Jul-81,1.297
Aug-81,1.525
Sep-81,4.105
Oct-81,1.830
Nov-81,1.940
Dec-81,2.708
Jan-82,2.830
Feb-82,3.140
Mar-82,3.520
Apr-82,3.240
May-82,3.545
Jun-82,3.200
Jul-82,4.240
Aug-82,2.870
Sep-82,2.745
Oct-82,2.260
Nov-82,1.945
Dec-82,1.930
Jan-83,1.953
Feb-83,1.900
Mar-83,3.235
Apr-83,3.125
May-83,4.243
Jun-83,4.293
Jul-83,4.045
Aug-83,3.950
Sep-83,4.105
Oct-83,4.315
Nov-83,4.653
Dec-83,2.280
Jan-84,3.196
Feb-84,3.233
Mar-84,3.510
Apr-84,4.353
May-84,4.243
Jun-84,4.293
Jul-84,4.045
Aug-84,3.950
Sep-84,4.105
Oct-84,4.315
Nov-84,4.653
Dec-84,4.560
Jan-85,3.196
Feb-85,3.233
Mar-85,3.510
Apr-85,4.353
May-85,4.243
Jun-85,4.293
Jul-85,4.045
Aug-85,3.950
Sep-85,4.105
Oct-85,4.315
Nov-85,4.653
Dec-85,4.560
Jan-86,3.196
Feb-86,3.233
Mar-86,3.510
Apr-86,4.353
May-86,4.243
Jun-86,4.293
Jul-86,4.045
Aug-86,3.950
Sep-86,4.105
Oct-86,4.315
Nov-86,4.653
Dec-86,4.560
Jan-87,3.196
Feb-87,3.233
Mar-87,3.510
Apr-87,4.353
May-87,4.243
Jun-87,4.293
Jul-87,4.045
Aug-87,3.950
Sep-87,4.105
Oct-87,4.315
Nov-87,4.653
Dec-87,4.560
Jan-88,4.685
Feb-88,4.203
Mar-88,4.115
Apr-88,4.130
May-88,4.100
Jun-88,4.025
Jul-88,5.263
Aug-88,3.333
Sep-88,4.250
Oct-88,2.983
Nov-88,4.300
Dec-88,2.275
Jan-89,3.850
Feb-89,3.900
Mar-89,4.225
Apr-89,4.130
May-89,4.260
Jun-89,4.467
Jul-89,4.240
Aug-89,3.400
Sep-89,4.000
Oct-89,3.150
Nov-89,4.300
Dec-89,3.105
Jan-90,4.338
Feb-90,4.293
Mar-90,4.360
Apr-90,4.480
May-90,4.540
Jun-90,4.560
Jul-90,4.557
Aug-90,3.400
Sep-90,4.000
Oct-90,4.077
Nov-90,4.300
Dec-90,4.460
Jan-91,4.440
Feb-91,4.420
Mar-91,4.490
Apr-91,4.530
May-91,4.240
Jun-91,4.327
Jul-91,4.125
Aug-91,4.360
Sep-91,4.290
Oct-91,4.077
Nov-91,4.250
Dec-91,4.157
Jan-92,4.310
Feb-92,4.400
Mar-92,4.213
Apr-92,4.605
May-92,3.388
Jun-92,3.366
Jul-92,1.073
Aug-92,4.728
Sep-92,4.320
Oct-92,4.315
Nov-92,3.910
Dec-92,4.225
Jan-93,3.847
Feb-93,3.863
Mar-93,4.278
Apr-93,4.380
May-93,4.230
Jun-93,4.000
Jul-93,3.978
Aug-93,3.450
Sep-93,3.295
Oct-93,3.300
Nov-93,3.487
Dec-93,3.105
Jan-94,3.270
Feb-94,3.233
Mar-94,3.510
Apr-94,4.353
May-94,4.243
Jun-94,4.293
Jul-94,4.045
Aug-94,3.950
Sep-94,4.105
Oct-94,4.315
Nov-94,4.653
Dec-94,4.560
Jan-95,4.685
Feb-95,4.203
Mar-95,4.115
Apr-95,4.130
May-95,4.260
Jun-95,4.467
Jul-95,4.240
Aug-95,3.400
Sep-95,4.000
Oct-95,4.077
Nov-95,4.300
Dec-95,3.105
Jan-96,4.780
Feb-96,5.150
Mar-96,4.063
Apr-96,4.030
May-96,4.060
Jun-96,3.555
Jul-96,3.555
Aug-96,3.400
Sep-96,4.000
Oct-96,4.077
Nov-96,4.300
Dec-96,3.090
Jan-97,3.078
Feb-97,3.020
Mar-97,3.487
Apr-97,3.030
May-97,4.243
Jun-97,4.293
Jul-97,4.045
Aug-97,3.540
Sep-97,4.105
Oct-97,4.025
Nov-97,4.040
Dec-97,4.560
Jan-98,4.020
Feb-98,4.040
Mar-98,4.050
Apr-98,4.130
May-98,4.000
Jun-98,3.095
Jul-98,4.240
Aug-98,3.400
Sep-98,4.000
Oct-98,4.077
Nov-98,4.300
Dec-98,3.105
