Year,Water_level
Jan-80,2.960
Feb-80,3.125
Mar-80,3.296
Apr-80,3.163
May-80,2.418
Jun-80,1.598
Jul-80,0.750
Aug-80,1.155
Sep-80,1.260
Oct-80,1.313
Nov-80,1.598
Dec-80,1.878
Jan-81,2.078
Feb-81,2.560
Mar-81,2.878
Apr-81,2.940
May-81,2.413
Jun-81,1.516
Jul-81,0.960
Aug-81,0.887
Sep-81,1.070
Oct-81,1.240
Nov-81,1.947
Dec-81,3.135
Jan-82,3.328
Feb-82,3.510
Mar-82,3.658
Apr-82,3.183
May-82,1.750
Jun-82,1.308
Jul-82,0.667
Aug-82,0.600
Sep-82,1.013
Oct-82,1.268
Nov-82,1.533
Dec-82,1.780
Jan-83,1.978
Feb-83,2.153
Mar-83,2.180
Apr-83,1.840
May-83,1.323
Jun-83,0.995
Jul-83,0.638
Aug-83,0.660
Sep-83,0.380
Oct-83,0.745
Nov-83,1.095
Dec-83,1.550
Jan-84,1.972
Feb-84,2.330
Mar-84,2.488
Apr-84,2.627
May-84,1.320
Jun-84,0.897
Jul-84,0.657
Aug-84,1.318
Sep-84,1.105
Oct-84,0.950
Nov-84,1.663
Dec-84,1.710
Jan-85,1.780
Feb-85,2.050
Mar-85,1.393
Apr-85,1.130
May-85,1.327
Jun-85,0.783
Jul-85,0.657
Aug-85,1.330
Sep-85,1.045
Oct-85,1.393
Nov-85,1.715
Dec-85,1.710
Jan-86,2.123
Feb-86,2.315
Mar-86,2.780
Apr-86,2.407
May-86,1.687
Jun-86,1.545
Jul-86,1.085
Aug-86,0.495
Sep-86,0.428
Oct-86,0.460
Nov-86,0.595
Dec-86,0.982
Jan-87,1.453
Feb-87,1.935
Mar-87,2.376
Apr-87,2.390
May-87,1.450
Jun-87,0.578
Jul-87,0.330
Aug-87,0.395
Sep-87,0.668
Oct-87,0.723
Nov-87,0.960
Dec-87,1.105
Jan-88,1.963
Feb-88,2.184
Mar-88,2.393
Apr-88,2.478
May-88,2.338
Jun-88,1.138
Jul-88,1.685
Aug-88,0.247
Sep-88,0.240
Oct-88,0.523
Nov-88,1.015
Dec-88,1.175
Jan-89,1.580
Feb-89,1.873
Mar-89,2.210
Apr-89,1.977
May-89,1.096
Jun-89,0.385
Jul-89,0.228
Aug-89,0.283
Sep-89,0.370
Oct-89,0.620
Nov-89,0.980
Dec-89,1.105
Jan-90,1.492
Feb-90,1.673
Mar-90,1.885
Apr-90,1.688
May-90,1.138
Jun-90,2.315
Jul-90,1.654
Aug-90,0.293
Sep-90,0.508
Oct-90,0.563
Nov-90,0.753
Dec-90,1.152
Jan-91,1.735
Feb-91,1.955
Mar-91,2.418
Apr-91,2.443
May-91,0.755
Jun-91,0.240
Jul-91,0.400
Aug-91,0.433
Sep-91,0.438
Oct-91,0.620
Nov-91,1.218
Dec-91,1.522
Jan-92,1.818
Feb-92,2.040
Mar-92,2.210
Apr-92,1.977
May-92,1.096
Jun-92,0.385
Jul-92,0.090
Aug-92,0.183
Sep-92,0.440
Oct-92,0.675
Nov-92,0.976
Dec-92,1.438
Jan-93,1.773
Feb-93,2.100
Mar-93,1.684
Apr-93,1.483
May-93,0.864
Jun-93,0.230
Jul-93,0.108
Aug-93,0.525
Sep-93,0.633
Oct-93,0.807
Nov-93,1.318
Dec-93,1.903
Jan-94,2.304
Feb-94,2.340
Mar-94,2.360
Apr-94,1.485
May-94,0.778
Jun-94,0.493
Jul-94,0.255
Aug-94,0.413
Sep-94,0.697
Oct-94,0.920
Nov-94,1.338
Dec-94,1.643
Jan-95,2.162
Feb-95,2.530
Mar-95,2.730
Apr-95,2.690
May-95,2.663
Jun-95,1.940
Jul-95,1.456
Aug-95,0.795
Sep-95,0.438
Oct-95,0.776
Nov-95,1.155
Dec-95,1.413
Jan-96,2.044
Feb-96,2.290
Mar-96,2.265
Apr-96,1.744
May-96,0.823
Jun-96,0.338
Jul-96,0.073
Aug-96,0.198
Sep-96,0.300
Oct-96,0.620
Nov-96,0.980
Dec-96,1.105
Jan-97,3.328
Feb-97,3.510
Mar-97,3.658
Apr-97,3.183
May-97,1.750
Jun-97,1.308
Jul-97,0.667
Aug-97,0.600
Sep-97,0.910
Oct-97,1.233
Nov-97,1.508
Dec-97,1.894
Jan-98,2.225
Feb-98,2.588
Mar-98,2.796
Apr-98,1.883
May-98,1.520
Jun-98,2.388
Jul-98,3.088
Aug-98,2.743
Sep-98,2.033
Oct-98,0.735
Nov-98,1.185
Dec-98,1.715
Jan-99,1.910
Feb-99,2.248
Mar-99,2.524
Apr-99,2.745
May-99,2.625
Jun-99,1.638
Jul-99,0.545
Aug-99,0.343
Sep-99,0.537
Oct-99,0.950
Nov-99,1.360
Dec-99,1.683
Jan-00,1.956
Feb-00,2.168
Mar-00,1.990
Apr-00,1.778
May-00,0.598
Jun-00,0.410
Jul-00,0.710
Aug-00,0.630
Sep-00,0.445
Oct-00,1.052
Nov-00,1.570
Dec-00,1.793
Jan-01,2.032
Feb-01,2.270
Mar-01,2.708
Apr-01,2.430
May-01,1.578
Jun-01,0.905
Jul-01,0.418
Aug-01,0.377
Sep-01,0.750
Oct-01,1.390
Nov-01,1.190
Dec-01,1.748
Jan-02,2.235
Feb-02,2.543
Mar-02,2.708
Apr-02,2.210
May-02,1.103
Jun-02,0.663
Jul-02,0.068
Aug-02,0.270
Sep-02,0.687
Oct-02,0.985
Nov-02,1.338
Dec-02,1.690
Jan-03,1.975
Feb-03,2.403
Mar-03,2.766
Apr-03,2.383
May-03,1.548
Jun-03,1.163
Jul-03,0.565
Aug-03,0.815
Sep-03,0.890
Oct-03,0.940
Nov-03,1.248
Dec-03,1.636
Jan-04,1.943
Feb-04,2.525
Mar-04,2.844
Apr-04,1.628
May-04,0.870
Jun-04,0.385
Jul-04,0.320
Aug-04,0.720
Sep-04,0.593
Oct-04,0.817
Nov-04,1.652
Dec-04,1.980
Jan-05,2.610
Feb-05,3.013
Mar-05,2.683
Apr-05,1.748
May-05,1.586
Jun-05,1.817
Jul-05,1.100
Aug-05,0.313
Sep-05,0.770
Oct-05,0.945
Nov-05,1.355
Dec-05,1.570
Jan-06,2.088
Feb-06,2.700
Mar-06,2.950
Apr-06,3.400
May-06,1.690
Jun-06,2.225
Jul-06,0.682
Aug-06,1.063
Sep-06,1.215
Oct-06,1.507
Nov-06,1.947
Dec-06,3.135
Jan-07,3.085
Feb-07,3.388
Mar-07,3.758
Apr-07,4.310
May-07,3.160
Jun-07,2.038
Jul-07,1.090
Aug-07,0.350
Sep-07,1.070
Oct-07,1.780
Nov-07,1.990
Dec-07,2.280
Jan-08,2.513
Feb-08,2.758
Mar-08,3.124
Apr-08,3.453
May-08,3.460
Jun-08,1.542
Jul-08,0.217
Aug-08,0.560
Sep-08,1.678
Oct-08,2.498
Nov-08,1.697
Dec-08,2.420
Jan-09,2.545
Feb-09,8.035
Mar-09,7.790
Apr-09,6.505
May-09,2.893
Jun-09,4.470
Jul-09,4.053
Aug-09,1.630
Sep-09,3.693
Oct-09,3.020
Nov-09,5.575
Dec-09,6.423
Jan-10,8.628
Feb-10,9.867
Mar-10,10.576
Apr-10,8.563
May-10,3.852
Jun-10,2.983
Jul-10,0.813
Aug-10,1.298
Sep-10,3.103
Oct-10,2.800
Nov-10,1.690
Dec-10,2.148
