Year,Water_level
Jan-80,4.540
Feb-80,4.793
Mar-80,4.883
Apr-80,4.938
May-80,4.075
Jun-80,2.920
Jul-80,2.745
Aug-80,2.590
Sep-80,2.693
Oct-80,2.907
Nov-80,3.418
Dec-80,3.973
Jan-81,4.275
Feb-81,4.483
Mar-81,4.718
Apr-81,4.593
May-81,4.217
Jun-81,3.730
Jul-81,2.915
Aug-81,2.630
Sep-81,2.215
Oct-81,3.043
Nov-81,3.844
Dec-81,4.320
Jan-82,4.555
Feb-82,4.785
Mar-82,4.963
Apr-82,4.395
May-82,3.990
Jun-82,3.515
Jul-82,2.343
Aug-82,2.420
Sep-82,3.078
Oct-82,3.198
Nov-82,3.778
Dec-82,4.245
Jan-83,4.552
Feb-83,4.813
Mar-83,4.745
Apr-83,3.955
May-83,3.120
Jun-83,2.835
Jul-83,2.408
Aug-83,2.020
Sep-83,1.948
Oct-83,2.460
Nov-83,3.170
Dec-83,3.710
Jan-84,4.104
Feb-84,4.390
Mar-84,4.665
Apr-84,4.652
May-84,2.947
Jun-84,3.400
Jul-84,2.670
Aug-84,2.798
Sep-84,2.333
Oct-84,2.962
Nov-84,3.560
Dec-84,3.955
Jan-85,4.295
Feb-85,4.473
Mar-85,4.560
Apr-85,4.258
May-85,3.830
Jun-85,2.400
Jul-85,2.362
Aug-85,2.367
Sep-85,2.137
Oct-85,2.595
Nov-85,2.630
Dec-85,3.630
Jan-86,3.943
Feb-86,4.605
Mar-86,4.716
Apr-86,4.645
May-86,4.310
Jun-86,4.322
Jul-86,3.525
Aug-86,3.163
Sep-86,2.945
Oct-86,2.340
Nov-86,3.225
Dec-86,3.823
Jan-87,4.200
Feb-87,4.495
Mar-87,4.626
Apr-87,4.223
May-87,4.083
Jun-87,3.143
Jul-87,2.823
Aug-87,2.372
Sep-87,2.295
Oct-87,2.730
Nov-87,3.538
Dec-87,3.430
Jan-88,4.275
Feb-88,4.587
Mar-88,4.708
Apr-88,4.755
May-88,3.882
Jun-88,3.050
Jul-88,2.280
Aug-88,2.180
Sep-88,2.490
Oct-88,2.660
Nov-88,3.390
Dec-88,3.705
Jan-89,4.108
Feb-89,4.393
Mar-89,4.628
Apr-89,4.563
May-89,3.848
Jun-89,3.370
Jul-89,2.388
Aug-89,1.873
Sep-89,2.198
Oct-89,2.260
Nov-89,3.073
Dec-89,3.607
Jan-90,4.114
Feb-90,4.423
Mar-90,4.593
Apr-90,3.843
May-90,3.377
Jun-90,2.520
Jul-90,2.316
Aug-90,1.987
Sep-90,1.793
Oct-90,2.585
Nov-90,3.148
Dec-90,3.718
Jan-91,4.075
Feb-91,4.278
Mar-91,4.338
Apr-91,4.393
May-91,2.723
Jun-91,2.188
Jul-91,2.110
Aug-91,2.210
Sep-91,2.160
Oct-91,2.408
Nov-91,2.943
Dec-91,3.584
Jan-92,3.940
Feb-92,4.178
Mar-92,4.308
Apr-92,4.215
May-92,3.947
Jun-92,3.510
Jul-92,2.588
Aug-92,2.673
Sep-92,2.633
Oct-92,2.640
Nov-92,3.336
Dec-92,3.950
Jan-93,4.208
Feb-93,4.318
Mar-93,4.150
Apr-93,4.165
May-93,3.002
Jun-93,2.065
Jul-93,2.013
Aug-93,1.833
Sep-93,2.325
Oct-93,2.760
Nov-93,3.446
Dec-93,3.863
Jan-94,4.338
Feb-94,4.610
Mar-94,4.603
Apr-94,4.013
May-94,3.965
Jun-94,3.215
Jul-94,2.977
Aug-94,2.100
Sep-94,2.967
Oct-94,3.160
Nov-94,3.733
Dec-94,4.220
Jan-95,4.510
Feb-95,4.807
Mar-95,5.000
Apr-95,5.050
May-95,4.493
Jun-95,3.765
Jul-95,2.802
Aug-95,2.240
Sep-95,2.820
Oct-95,3.138
Nov-95,3.583
Dec-95,3.905
Jan-96,4.100
Feb-96,4.430
Mar-96,4.590
Apr-96,4.123
May-96,3.830
Jun-96,3.383
Jul-96,2.736
Aug-96,2.510
Sep-96,2.785
Oct-96,3.050
Nov-96,3.570
Dec-96,4.070
Jan-97,4.508
Feb-97,4.720
Mar-97,4.860
Apr-97,4.830
May-97,4.750
Jun-97,4.018
Jul-97,2.753
Aug-97,2.813
Sep-97,2.850
Oct-97,3.047
Nov-97,3.835
Dec-97,4.248
Jan-98,4.548
Feb-98,4.810
Mar-98,5.008
Apr-98,4.585
May-98,4.398
Jun-98,3.048
Jul-98,2.523
Aug-98,2.136
Sep-98,2.753
Oct-98,3.400
Nov-98,3.824
Dec-98,4.170
Jan-99,4.720
Feb-99,4.940
Mar-99,4.216
Apr-99,5.260
May-99,4.788
Jun-99,4.373
Jul-99,3.968
Aug-99,3.290
Sep-99,3.525
Oct-99,3.090
Nov-99,4.250
Dec-99,4.613
Jan-00,4.460
Feb-00,4.707
Mar-00,4.710
Apr-00,4.507
May-00,3.794
Jun-00,2.913
Jul-00,2.940
Aug-00,2.460
Sep-00,2.020
Oct-00,2.780
Nov-00,3.560
