Year,Water_level
Jan-80,6.913
Feb-80,6.493
Mar-80,6.518
Apr-80,6.150
May-80,6.560
Jun-80,4.903
Jul-80,3.030
Aug-80,4.435
Sep-80,3.497
Oct-80,4.555
Nov-80,6.840
Dec-80,6.780
Jan-81,6.910
Feb-81,6.908
Mar-81,6.570
Apr-81,6.203
May-81,5.120
Jun-81,3.612
Jul-81,2.847
Aug-81,2.858
Sep-81,4.220
Oct-81,5.930
Nov-81,6.860
Dec-81,6.550
Jan-82,6.820
Feb-82,6.723
Mar-82,6.637
Apr-82,5.885
May-82,6.258
Jun-82,2.863
Jul-82,2.847
Aug-82,3.510
Sep-82,4.350
Oct-82,5.963
Nov-82,6.300
Dec-82,6.550
Jan-83,5.610
Feb-83,6.488
Mar-83,6.050
Apr-83,4.720
May-83,2.700
Jun-83,2.470
Jul-83,4.190
Aug-83,4.453
Sep-83,5.603
Oct-83,6.587
Nov-83,6.885
Dec-83,6.550
Jan-84,5.563
Feb-84,5.033
Mar-84,5.497
Apr-84,5.035
May-84,2.500
Jun-84,3.890
Jul-84,2.500
Aug-84,4.215
Sep-84,3.703
Oct-84,5.352
Nov-84,6.787
Dec-84,6.853
Jan-85,6.820
Feb-85,3.425
Mar-85,6.705
Apr-85,5.010
May-85,3.593
Jun-85,3.488
Jul-85,3.643
Aug-85,3.500
Sep-85,5.018
Oct-85,6.163
Nov-85,6.075
Dec-85,6.825
Jan-86,6.813
Feb-86,6.550
Mar-86,6.480
Apr-86,5.985
May-86,6.280
Jun-86,5.870
Jul-86,4.743
Aug-86,4.900
Sep-86,4.612
Oct-86,5.485
Nov-86,6.447
Dec-86,6.795
Jan-87,6.798
Feb-87,6.833
Mar-87,6.790
Apr-87,6.623
May-87,6.757
Jun-87,5.146
Jul-87,4.118
Aug-87,4.435
Sep-87,4.173
Oct-87,5.570
Nov-87,6.405
Dec-87,6.080
Jan-88,6.585
Feb-88,6.427
Mar-88,6.765
Apr-88,6.533
May-88,5.542
Jun-88,5.417
Jul-88,4.800
Aug-88,5.043
Sep-88,6.850
Oct-88,6.355
Nov-88,6.753
Dec-88,6.650
Jan-89,6.774
Feb-89,6.808
Mar-89,6.417
Apr-89,6.440
May-89,5.818
Jun-89,3.695
Jul-89,3.970
Aug-89,4.295
Sep-89,4.173
Oct-89,5.570
Nov-89,6.405
Dec-89,6.080
Jan-90,5.610
Feb-90,6.488
Mar-90,6.050
Apr-90,4.720
May-90,3.805
Jun-90,3.815
Jul-90,4.190
Aug-90,4.453
Sep-90,5.603
Oct-90,6.587
Nov-90,6.885
Dec-90,6.550
Jan-91,7.023
Feb-91,7.205
Mar-91,7.115
Apr-91,6.628
May-91,6.340
Jun-91,5.263
Jul-91,3.038
Aug-91,4.500
Sep-91,2.413
Oct-91,3.720
Nov-91,4.338
Dec-91,5.780
Jan-92,6.845
Feb-92,6.817
Mar-92,5.644
Apr-92,4.075
May-92,3.680
Jun-92,3.223
Jul-92,2.440
Aug-92,4.453
Sep-92,5.440
Oct-92,4.970
Nov-92,5.135
Dec-92,6.590
Jan-93,5.563
Feb-93,5.033
Mar-93,5.497
Apr-93,5.035
May-93,4.573
Jun-93,3.890
Jul-93,3.837
Aug-93,4.603
Sep-93,4.440
Oct-93,5.700
Nov-93,6.075
Dec-93,6.613
Jan-94,6.770
Feb-94,5.690
Mar-94,4.745
Apr-94,3.918
May-94,4.413
Jun-94,4.423
Jul-94,3.993
Aug-94,3.708
Sep-94,5.440
Oct-94,5.718
Nov-94,4.917
Dec-94,5.140
Jan-95,5.695
Feb-95,6.198
Mar-95,5.473
Apr-95,5.508
May-95,6.673
Jun-95,4.793
Jul-95,4.505
Aug-95,4.848
Sep-95,5.230
Oct-95,5.478
Nov-95,5.875
Dec-95,5.710
Jan-96,5.599
Feb-96,5.645
Mar-96,5.205
Apr-96,5.008
May-96,5.360
Jun-96,4.423
Jul-96,3.993
Aug-96,3.708
Sep-96,5.440
Oct-96,5.718
Nov-96,4.950
Dec-96,5.050
Jan-97,5.695
Feb-97,6.198
Mar-97,5.473
Apr-97,5.508
May-97,6.673
Jun-97,4.793
Jul-97,4.505
Aug-97,4.848
Sep-97,5.230
Oct-97,5.478
Nov-97,5.663
Dec-97,5.433
Jan-98,5.633
Feb-98,5.543
Mar-98,5.257
Apr-98,5.230
May-98,4.527
Jun-98,4.376
Jul-98,4.253
Aug-98,4.603
Sep-98,4.440
Oct-98,5.700
Nov-98,6.075
Dec-98,6.613
Jan-99,6.770
Feb-99,5.690
Mar-99,4.745
Apr-99,3.918
May-99,4.575
Jun-99,4.473
Jul-99,3.993
Aug-99,3.708
Sep-99,5.268
Oct-99,5.270
Nov-99,5.283
Dec-99,5.340
Jan-00,6.576
Feb-00,6.427
Mar-00,6.765
Apr-00,6.533
May-00,5.542
Jun-00,5.417
Jul-00,4.800
Aug-00,5.043
Sep-00,6.850
Oct-00,6.355
Nov-00,6.753
Dec-00,6.650
Jan-01,5.563
Feb-01,5.033
Mar-01,5.497
Apr-01,4.750
May-01,4.100
Jun-01,4.493
Jul-01,4.690
Aug-01,3.807
Sep-01,3.963
Oct-01,4.080
Nov-01,6.075
Dec-01,6.613
Jan-02,6.770
Feb-02,5.690
Mar-02,3.330
Apr-02,3.482
May-02,2.660
Jun-02,3.010
Jul-02,4.800
Aug-02,5.333
Sep-02,4.308
Oct-02,4.776
Nov-02,4.473
Dec-02,5.247
Jan-03,6.225
Feb-03,6.507
Mar-03,6.576
Apr-03,5.693
May-03,5.203
Jun-03,4.520
Jul-03,3.860
Aug-03,4.388
Sep-03,3.846
Oct-03,4.563
Nov-03,5.385
Dec-03,6.080
Jan-04,5.673
Feb-04,5.613
Mar-04,5.000
Apr-04,6.058
May-04,6.538
Jun-04,6.900
Jul-04,7.150
Aug-04,7.480
Sep-04,4.477
Oct-04,5.485
Nov-04,6.447
Dec-04,6.795
Jan-05,5.110
Feb-05,5.033
Mar-05,5.497
Apr-05,5.035
May-05,4.573
Jun-05,3.890
Jul-05,3.837
Aug-05,4.603
Sep-05,4.440
Oct-05,5.700
Nov-05,6.075
Dec-05,6.613
Jan-06,6.576
Feb-06,6.427
Mar-06,6.765
Apr-06,6.533
May-06,5.542
Jun-06,5.417
Jul-06,4.800
Aug-06,5.043
Sep-06,6.850
Oct-06,6.355
Nov-06,6.753
Dec-06,6.650
Jan-07,5.563
Feb-07,5.033
Mar-07,5.497
Apr-07,5.035
May-07,4.573
Jun-07,3.890
Jul-07,3.837
Aug-07,4.603
Sep-07,3.980
Oct-07,4.747
Nov-07,5.417
Dec-07,6.733
Jan-08,8.038
Feb-08,9.010
Mar-08,6.765
Apr-08,11.090
May-08,11.727
Jun-08,10.788
Jul-08,9.330
Aug-08,8.333
Sep-08,7.733
Oct-08,12.060
Nov-08,6.753
Dec-08,13.910
Jan-09,14.407
Feb-09,15.070
Mar-09,16.078
Apr-09,15.570
May-09,13.805
Jun-09,13.400
Jul-09,12.100
Aug-09,10.876
Sep-09,12.370
Oct-09,12.370
Nov-09,6.753
Dec-09,6.650
