Year,Water_level
Jan-70,3.210
Feb-70,3.335
Mar-70,3.430
Apr-70,3.560
May-70,2.325
Jun-70,1.892
Jul-70,1.373
Aug-70,1.455
Sep-70,1.780
Oct-70,2.153
Nov-70,2.605
Dec-70,2.497
Jan-71,3.145
Feb-71,3.400
Mar-71,3.265
Apr-71,3.178
May-71,2.910
Jun-71,2.042
Jul-71,1.475
Aug-71,1.560
Sep-71,1.890
Oct-71,2.540
Nov-71,2.893
Dec-71,3.000
Jan-72,3.138
Feb-72,3.260
Mar-72,3.377
Apr-72,3.287
May-72,3.100
Jun-72,1.978
Jul-72,1.543
Aug-72,1.560
Sep-72,1.765
Oct-72,2.465
Nov-72,2.853
Dec-72,3.050
Jan-73,3.150
Feb-73,3.475
Mar-73,3.480
Apr-73,3.255
May-73,2.303
Jun-73,1.610
Jul-73,1.498
Aug-73,1.590
Sep-73,1.660
Oct-73,2.157
Nov-73,2.540
Dec-73,2.873
Jan-74,3.150
Feb-74,3.410
Mar-74,3.445
Apr-74,2.607
May-74,2.365
Jun-74,1.995
Jul-74,1.538
Aug-74,1.733
Sep-74,1.765
Oct-74,1.905
Nov-74,2.030
Dec-74,2.873
Jan-75,1.980
Feb-75,2.775
Mar-75,3.240
Apr-75,2.973
May-75,2.950
Jun-75,2.617
Jul-75,2.320
Aug-75,2.070
Sep-75,1.850
Oct-75,2.060
Nov-75,2.497
Dec-75,2.920
Jan-76,3.025
Feb-76,3.155
Mar-76,3.262
Apr-76,3.418
May-76,3.267
Jun-76,2.715
Jul-76,2.488
Aug-76,2.058
Sep-76,1.850
Oct-76,2.060
Nov-76,2.497
Dec-76,2.920
Jan-77,2.903
Feb-77,3.943
Mar-77,3.773
Apr-77,2.380
May-77,2.762
Jun-77,3.140
Jul-77,3.103
Aug-77,2.220
Sep-77,2.848
Oct-77,2.680
Nov-77,3.040
Dec-77,2.695
Jan-78,2.647
Feb-78,4.065
Mar-78,5.337
Apr-78,5.023
May-78,2.575
Jun-78,2.280
Jul-78,2.350
Aug-78,2.375
Sep-78,2.440
Oct-78,2.387
Nov-78,1.843
Dec-78,2.590
Jan-79,3.000
Feb-79,3.455
Mar-79,4.113
Apr-79,4.580
May-79,2.490
Jun-79,2.345
Jul-79,2.240
Aug-79,2.380
Sep-79,2.440
Oct-79,2.410
Nov-79,2.460
Dec-79,2.580
Jan-80,3.030
Feb-80,3.818
Mar-80,4.754
Apr-80,3.450
May-80,2.495
Jun-80,2.223
Jul-80,2.215
Aug-80,2.225
Sep-80,2.440
Oct-80,2.405
Nov-80,2.360
Dec-80,2.603
Jan-81,1.705
Feb-81,2.687
Mar-81,2.558
Apr-81,2.633
May-81,2.215
Jun-81,2.220
Jul-81,2.130
Aug-81,2.070
Sep-81,2.770
Oct-81,2.060
Nov-81,2.290
Dec-81,2.758
Jan-82,4.387
Feb-82,5.013
Mar-82,3.720
Apr-82,2.680
May-82,2.354
Jun-82,2.328
Jul-82,2.280
Aug-82,2.220
Sep-82,2.540
Oct-82,2.510
Nov-82,2.050
Dec-82,2.500
Jan-83,3.145
Feb-83,4.037
Mar-83,3.500
Apr-83,2.738
May-83,2.500
Jun-83,2.590
Jul-83,2.440
Aug-83,2.070
Sep-83,1.280
Oct-83,1.290
Nov-83,2.497
Dec-83,2.920
Jan-84,2.647
Feb-84,4.065
Mar-84,5.337
Apr-84,5.023
May-84,2.575
Jun-84,2.280
Jul-84,2.490
Aug-84,2.540
Sep-84,2.050
Oct-84,2.324
Nov-84,2.300
Dec-84,2.500
Jan-85,2.450
Feb-85,2.430
Mar-85,2.390
Apr-85,2.420
May-85,2.370
Jun-85,2.617
Jul-85,2.593
Aug-85,2.707
Sep-85,2.788
Oct-85,2.875
Nov-85,2.993
Dec-85,1.735
Jan-86,2.193
Feb-86,2.365
Mar-86,2.153
Apr-86,2.177
May-86,2.340
Jun-86,2.270
Jul-86,1.015
Aug-86,1.140
Sep-86,1.273
Oct-86,1.427
Nov-86,1.608
Dec-86,1.790
Jan-87,0.515
Feb-87,0.718
Mar-87,0.920
Apr-87,0.838
May-87,0.748
Jun-87,0.513
Jul-87,1.576
Aug-87,0.005
Sep-87,1.133
Oct-87,0.160
Nov-87,0.547
Dec-87,0.555
Jan-88,0.618
Feb-88,0.748
Mar-88,0.843
Apr-88,0.623
May-88,0.197
Jun-88,1.483
Jul-88,1.576
Aug-88,1.343
Sep-88,1.133
Oct-88,0.027
Nov-88,0.110
Dec-88,0.463
Jan-89,0.434
Feb-89,0.690
Mar-89,0.873
Apr-89,0.500
May-89,0.360
Jun-89,0.060
Jul-89,1.576
Aug-89,1.343
Sep-89,1.133
Oct-89,1.260
Nov-89,0.030
Dec-89,0.190
Jan-90,0.526
Feb-90,0.795
Mar-90,0.863
Apr-90,0.585
May-90,0.190
Jun-90,1.483
Jul-90,1.576
Aug-90,1.343
Sep-90,1.133
Oct-90,1.260
Nov-90,0.093
Dec-90,0.340
Jan-91,0.600
Feb-91,0.800
Mar-91,1.018
Apr-91,0.878
May-91,0.410
Jun-91,1.483
Jul-91,1.576
Aug-91,1.343
Sep-91,1.133
Oct-91,1.260
Nov-91,0.117
Dec-91,0.318
Jan-92,0.595
Feb-92,0.770
Mar-92,0.980
Apr-92,1.100
May-92,0.610
Jun-92,0.483
Jul-92,0.030
Aug-92,1.343
Sep-92,1.133
Oct-92,0.030
Nov-92,0.414
Dec-92,0.493
Jan-93,0.695
Feb-93,0.873
Mar-93,0.948
Apr-93,0.885
May-93,0.183
Jun-93,0.000
Jul-93,1.576
Aug-93,1.343
Sep-93,1.133
Oct-93,1.260
Nov-93,1.520
Dec-93,1.828
Jan-94,1.997
Feb-94,2.148
Mar-94,2.258
Apr-94,2.373
May-94,2.120
Jun-94,1.580
Jul-94,1.250
Aug-94,1.455
Sep-94,1.358
Oct-94,1.588
Nov-94,1.810
Dec-94,1.970
Jan-95,2.160
Feb-95,2.407
Mar-95,2.380
Apr-95,1.834
May-95,1.570
Jun-95,1.638
Jul-95,1.326
Aug-95,1.233
Sep-95,1.486
Oct-95,1.650
Nov-95,1.768
Dec-95,1.998
Jan-96,2.133
Feb-96,2.313
Mar-96,2.433
Apr-96,2.533
May-96,4.350
Jun-96,1.952
Jul-96,1.425
Aug-96,1.583
Sep-96,1.738
Oct-96,1.818
Nov-96,1.900
Dec-96,1.983
Jan-97,2.208
Feb-97,2.365
Mar-97,2.153
Apr-97,2.177
May-97,2.340
Jun-97,2.270
Jul-97,1.015
Aug-97,1.140
Sep-97,1.273
Oct-97,1.427
Nov-97,1.608
Dec-97,1.790
Jan-98,2.090
Feb-98,2.343
Mar-98,2.240
Apr-98,2.190
May-98,2.330
Jun-98,2.320
Jul-98,1.690
Aug-98,1.302
Sep-98,1.160
Oct-98,1.423
Nov-98,1.695
Dec-98,1.880
Jan-99,2.346
Feb-99,2.523
Mar-99,2.247
Apr-99,1.895
May-99,1.528
Jun-99,1.483
Jul-99,1.576
Aug-99,1.343
Sep-99,1.133
Oct-99,1.260
Nov-99,1.520
Dec-99,1.828
Jan-00,2.100
Feb-00,2.450
Mar-00,2.460
Apr-00,2.073
May-00,1.763
Jun-00,1.538
Jul-00,1.510
Aug-00,1.293
Sep-00,1.135
Oct-00,1.380
Nov-00,1.520
Dec-00,1.800
Jan-01,2.032
Feb-01,2.270
Mar-01,2.708
Apr-01,2.430
May-01,1.578
Jun-01,0.905
Jul-01,0.418
Aug-01,0.377
Sep-01,0.750
Oct-01,1.390
Nov-01,1.190
Dec-01,1.748
