Year,Water_level
Jan-80,2.890
Feb-80,3.018
Mar-80,2.504
Apr-80,2.005
May-80,1.557
Jun-80,1.516
Jul-80,1.628
Aug-80,1.920
Sep-80,2.134
Oct-80,2.038
Nov-80,2.608
Dec-80,2.810
Jan-81,3.230
Feb-81,3.608
Mar-81,3.400
Apr-81,2.533
May-81,2.475
Jun-81,2.440
Jul-81,2.400
Aug-81,1.662
Sep-81,2.135
Oct-81,2.710
Nov-81,2.986
Dec-81,3.175
Jan-82,3.510
Feb-82,4.153
Mar-82,4.784
Apr-82,2.280
May-82,2.282
Jun-82,2.475
Jul-82,2.210
Aug-82,2.032
Sep-82,2.030
Oct-82,2.415
Nov-82,2.850
Dec-82,3.177
Jan-83,3.262
Feb-83,3.648
Mar-83,3.657
Apr-83,3.017
May-83,2.188
Jun-83,1.850
Jul-83,1.615
Aug-83,1.967
Sep-83,2.355
Oct-83,2.353
Nov-83,2.723
Dec-83,3.087
Jan-84,3.356
Feb-84,3.090
Mar-84,3.425
Apr-84,3.070
May-84,2.215
Jun-84,1.930
Jul-84,1.823
Aug-84,1.810
Sep-84,2.443
Oct-84,3.103
Nov-84,3.445
Dec-84,3.430
Jan-85,3.610
Feb-85,3.755
Mar-85,3.945
Apr-85,3.423
May-85,1.990
Jun-85,1.585
Jul-85,1.590
Aug-85,1.807
Sep-85,1.850
Oct-85,2.300
Nov-85,3.225
Dec-85,3.425
Jan-86,3.740
Feb-86,4.098
Mar-86,4.200
Apr-86,3.860
May-86,3.503
Jun-86,2.722
Jul-86,1.835
Aug-86,1.645
Sep-86,1.723
Oct-86,2.048
Nov-86,2.425
Dec-86,2.772
Jan-87,3.300
Feb-87,3.583
Mar-87,3.216
Apr-87,3.285
May-87,3.473
Jun-87,3.220
Jul-87,3.400
Aug-87,3.580
Sep-87,3.780
Oct-87,3.900
Nov-87,4.184
Dec-87,4.298
Jan-88,4.313
Feb-88,4.260
Mar-88,4.010
Apr-88,3.687
May-88,3.100
Jun-88,3.500
Jul-88,3.843
Aug-88,3.043
Sep-88,1.773
Oct-88,2.143
Nov-88,2.493
Dec-88,2.743
Jan-89,2.954
Feb-89,3.330
Mar-89,2.725
Apr-89,2.097
May-89,2.098
Jun-89,1.883
Jul-89,1.628
Aug-89,1.650
Sep-89,1.790
Oct-89,2.475
Nov-89,2.608
Dec-89,2.768
Jan-90,3.028
Feb-90,3.273
Mar-90,3.425
Apr-90,2.860
May-90,2.543
Jun-90,2.448
Jul-90,2.118
Aug-90,2.775
Sep-90,3.650
Oct-90,3.200
Nov-90,3.360
Dec-90,3.450
Jan-91,3.520
Feb-91,3.730
Mar-91,3.637
Apr-91,3.288
May-91,3.075
Jun-91,3.038
Jul-91,2.760
Aug-91,2.320
Sep-91,1.932
Oct-91,2.213
Nov-91,2.890
Dec-91,3.298
Jan-92,3.520
Feb-92,3.833
Mar-92,4.518
Apr-92,1.913
May-92,2.467
Jun-92,2.182
Jul-92,1.068
Aug-92,1.875
Sep-92,0.860
Oct-92,1.250
Nov-92,2.383
Dec-92,2.693
Jan-93,2.850
Feb-93,2.768
Mar-93,2.986
Apr-93,2.920
May-93,1.893
Jun-93,1.625
Jul-93,1.373
Aug-93,1.475
Sep-93,1.860
Oct-93,2.035
Nov-93,2.095
Dec-93,2.318
Jan-94,2.822
Feb-94,3.150
Mar-94,3.550
Apr-94,2.650
May-94,2.463
Jun-94,0.538
Jul-94,1.400
Aug-94,3.050
Sep-94,2.050
Oct-94,2.335
Nov-94,2.250
Dec-94,2.835
Jan-95,2.984
Feb-95,3.150
Mar-95,3.230
Apr-95,2.890
May-95,1.514
Jun-95,1.035
Jul-95,1.040
Aug-95,1.225
Sep-95,1.473
Oct-95,1.883
Nov-95,2.100
Dec-95,1.970
Jan-96,2.390
Feb-96,2.925
Mar-96,2.885
Apr-96,3.125
May-96,2.675
Jun-96,2.425
Jul-96,1.638
Aug-96,3.200
Sep-96,3.650
Oct-96,3.200
Nov-96,3.535
Dec-96,3.900
Jan-97,4.088
Feb-97,4.450
Mar-97,4.150
Apr-97,4.100
May-97,3.525
Jun-97,2.468
Jul-97,2.073
Aug-97,2.838
Sep-97,3.567
Oct-97,3.915
Nov-97,4.063
Dec-97,4.340
Jan-98,4.350
Feb-98,4.050
Mar-98,3.575
Apr-98,3.450
May-98,2.500
Jun-98,1.575
Jul-98,1.975
Aug-98,2.250
Sep-98,2.355
Oct-98,2.353
Nov-98,2.723
Dec-98,3.087
