Year,Water_level
Jan-80,2.773
Feb-80,2.963
Mar-80,3.044
Apr-80,2.630
May-80,1.808
Jun-80,1.740
Jul-80,1.805
Aug-80,1.640
Sep-80,1.733
Oct-80,1.705
Nov-80,2.117
Dec-80,2.508
Jan-81,3.013
Feb-81,3.163
Mar-81,3.268
Apr-81,2.570
May-81,1.905
Jun-81,1.830
Jul-81,1.725
Aug-81,1.640
Sep-81,1.675
Oct-81,2.047
Nov-81,2.485
Dec-81,2.778
Jan-82,2.915
Feb-82,3.173
Mar-82,4.952
Apr-82,2.288
May-82,1.866
Jun-82,1.647
Jul-82,1.640
Aug-82,1.740
Sep-82,1.735
Oct-82,2.030
Nov-82,2.404
Dec-82,2.715
Jan-83,2.890
Feb-83,3.170
Mar-83,3.110
Apr-83,2.470
May-83,1.915
Jun-83,1.865
Jul-83,1.725
Aug-83,1.657
Sep-83,2.007
Oct-83,2.130
Nov-83,2.400
Dec-83,3.040
Jan-84,3.068
Feb-84,3.430
Mar-84,3.693
Apr-84,3.428
May-84,2.383
Jun-84,2.400
Jul-84,2.108
Aug-84,2.260
Sep-84,1.837
Oct-84,2.135
Nov-84,2.417
Dec-84,3.023
Jan-85,3.148
Feb-85,3.295
Mar-85,3.577
Apr-85,2.710
May-85,2.338
Jun-85,2.040
Jul-85,2.182
Aug-85,2.385
Sep-85,2.470
Oct-85,2.513
Nov-85,2.727
Dec-85,3.090
Jan-86,3.638
Feb-86,3.488
Mar-86,4.106
Apr-86,3.498
May-86,2.773
Jun-86,2.456
Jul-86,1.915
Aug-86,1.998
Sep-86,2.010
Oct-86,2.095
Nov-86,2.280
Dec-86,2.920
Jan-87,3.388
Feb-87,3.150
Mar-87,3.450
Apr-87,2.690
May-87,2.640
Jun-87,2.350
Jul-87,2.265
Aug-87,2.113
Sep-87,2.245
Oct-87,2.510
Nov-87,2.760
Dec-87,2.990
Jan-88,3.300
Feb-88,3.420
Mar-88,3.123
Apr-88,2.863
May-88,2.396
Jun-88,2.280
Jul-88,2.170
Aug-88,2.068
Sep-88,2.185
Oct-88,2.360
Nov-88,2.665
Dec-88,2.577
Jan-89,2.724
Feb-89,3.298
Mar-89,3.490
Apr-89,3.615
May-89,2.803
Jun-89,2.393
Jul-89,1.983
Aug-89,2.225
Sep-89,2.157
Oct-89,2.385
Nov-89,2.630
Dec-89,3.020
Jan-90,3.400
Feb-90,3.800
Mar-90,3.583
Apr-90,3.140
May-90,2.378
Jun-90,2.313
Jul-90,2.388
Aug-90,2.540
Sep-90,2.573
Oct-90,2.660
Nov-90,2.965
Dec-90,3.282
Jan-91,3.485
Feb-91,3.538
Mar-91,3.773
Apr-91,3.143
May-91,2.470
Jun-91,1.893
Jul-91,2.528
Aug-91,2.465
Sep-91,2.475
Oct-91,2.730
Nov-91,2.885
Dec-91,3.200
Jan-92,2.350
Feb-92,3.250
Mar-92,4.010
Apr-92,4.977
May-92,4.853
Jun-92,4.220
Jul-92,3.335
Aug-92,3.250
Sep-92,3.407
Oct-92,3.578
Nov-92,4.097
Dec-92,4.585
Jan-93,4.893
Feb-93,5.188
Mar-93,5.480
Apr-93,5.395
May-93,4.310
Jun-93,3.067
Jul-93,2.840
Aug-93,2.583
Sep-93,3.275
Oct-93,3.457
Nov-93,4.138
Dec-93,4.895
Jan-94,5.232
Feb-94,5.648
Mar-94,5.820
Apr-94,4.718
May-94,4.358
Jun-94,3.553
Jul-94,3.643
Aug-94,3.350
Sep-94,3.977
Oct-94,4.215
Nov-94,4.877
Dec-94,5.165
Jan-95,5.530
Feb-95,6.195
Mar-95,6.233
Apr-95,6.543
May-95,6.140
Jun-95,4.930
Jul-95,3.920
Aug-95,3.593
Sep-95,3.710
Oct-95,4.068
Nov-95,4.887
Dec-95,5.145
Jan-96,5.643
Feb-96,6.250
Mar-96,6.373
Apr-96,6.130
May-96,5.518
Jun-96,4.855
Jul-96,4.376
Aug-96,4.233
Sep-96,4.324
Oct-96,4.750
Nov-96,5.127
Dec-96,5.582
Jan-97,6.010
Feb-97,6.405
Mar-97,6.780
Apr-97,6.860
May-97,6.837
Jun-97,5.858
Jul-97,4.683
Aug-97,4.903
Sep-97,4.546
Oct-97,4.440
Nov-97,5.543
Dec-97,5.900
Jan-98,6.393
Feb-98,6.813
Mar-98,7.288
Apr-98,7.149
May-98,7.333
Jun-98,5.948
Jul-98,5.253
Aug-98,4.430
Sep-98,4.613
Oct-98,4.790
Nov-98,4.227
Dec-98,3.600
Jan-99,4.315
Feb-99,4.785
Mar-99,5.188
Apr-99,5.375
May-99,6.140
Jun-99,6.143
Jul-99,5.025
Aug-99,4.295
Sep-99,3.528
Oct-99,3.975
Nov-99,4.948
Dec-99,4.043
Jan-00,4.332
Feb-00,4.918
Mar-00,4.867
Apr-00,5.175
May-00,4.450
Jun-00,4.100
Jul-00,3.867
Aug-00,4.600
Sep-00,3.630
Oct-00,3.473
Nov-00,3.980
Dec-00,4.043
Jan-01,4.365
Feb-01,4.468
Mar-01,4.650
Apr-01,4.468
May-01,4.598
Jun-01,4.160
Jul-01,4.200
Aug-01,3.917
Sep-01,3.633
Oct-01,3.100
Nov-01,3.400
Dec-01,3.656
Jan-02,4.060
Feb-02,3.745
Mar-02,3.748
Apr-02,4.156
May-02,4.553
Jun-02,4.203
Jul-02,3.298
Aug-02,2.790
Sep-02,3.508
Oct-02,3.240
Nov-02,3.457
Dec-02,3.952
Jan-03,4.120
Feb-03,4.380
Mar-03,4.470
Apr-03,4.667
May-03,5.017
Jun-03,4.296
Jul-03,3.355
Aug-03,2.800
Sep-03,3.243
Oct-03,3.517
Nov-03,4.056
Dec-03,4.360
Jan-04,5.167
Feb-04,5.200
Mar-04,4.588
Apr-04,2.490
May-04,2.560
Jun-04,2.980
Jul-04,2.997
Aug-04,2.800
Sep-04,3.090
Oct-04,2.430
Nov-04,3.567
Dec-04,3.547
Jan-05,5.825
Feb-05,4.300
Mar-05,3.477
Apr-05,2.400
May-05,2.393
Jun-05,2.515
Jul-05,2.410
Aug-05,3.297
Sep-05,2.183
Oct-05,2.870
Nov-05,2.863
Dec-05,3.148
Jan-06,2.674
Feb-06,3.193
Mar-06,3.750
Apr-06,3.828
May-06,3.835
Jun-06,3.715
Jul-06,4.028
Aug-06,3.633
Sep-06,3.737
Oct-06,3.815
Nov-06,4.018
Dec-06,4.198
Jan-07,4.332
Feb-07,4.918
Mar-07,4.867
Apr-07,4.468
May-07,4.368
Jun-07,4.108
Jul-07,4.258
Aug-07,4.357
Sep-07,3.898
Oct-07,4.060
Nov-07,4.015
Dec-07,4.043
Jan-08,4.005
Feb-08,3.853
Mar-08,3.757
Apr-08,3.910
May-08,3.993
Jun-08,3.598
Jul-08,3.443
Aug-08,3.290
Sep-08,3.303
Oct-08,3.090
Nov-08,2.197
Dec-08,2.388
Jan-09,2.670
Feb-09,2.893
Mar-09,2.370
Apr-09,2.213
May-09,1.928
Jun-09,1.733
Jul-09,1.777
Aug-09,1.685
Sep-09,1.780
Oct-09,1.885
Nov-09,1.970
Dec-09,2.100
Jan-10,2.055
Feb-10,2.160
Mar-10,2.230
Apr-10,1.600
May-10,1.633
Jun-10,1.510
Jul-10,1.600
Aug-10,1.460
Sep-10,1.453
Oct-10,1.530
Nov-10,1.690
Dec-10,1.525
