Year,Water_level
1/1/1980,4.865
2/1/1980,4.813
3/1/1980,4.603
4/1/1980,3.787
5/1/1980,3.450
6/1/1980,2.976
7/1/1980,3.017
8/1/1980,3.143
9/1/1980,3.553
10/1/1980,3.460
11/1/1980,3.895
12/1/1980,4.077
1/1/1981,4.005
2/1/1981,4.438
3/1/1981,4.712
4/1/1981,3.813
5/1/1981,3.423
6/1/1981,2.930
7/1/1981,2.460
8/1/1981,2.413
9/1/1981,2.653
10/1/1981,3.090
11/1/1981,3.700
12/1/1981,4.223
1/1/1982,4.080
2/1/1982,4.313
3/1/1982,4.564
4/1/1982,4.603
5/1/1982,3.710
6/1/1982,3.347
7/1/1982,2.723
8/1/1982,2.950
9/1/1982,2.735
10/1/1982,3.343
11/1/1982,3.670
12/1/1982,3.913
1/1/1983,4.370
2/1/1983,4.440
3/1/1983,4.685
4/1/1983,4.658
5/1/1983,4.118
6/1/1983,3.298
7/1/1983,2.793
8/1/1983,2.950
9/1/1983,2.828
10/1/1983,3.387
11/1/1983,3.758
12/1/1983,3.837
1/1/1984,4.160
2/1/1984,4.408
3/1/1984,4.660
4/1/1984,4.748
5/1/1984,4.287
6/1/1984,3.713
7/1/1984,3.012
8/1/1984,3.013
9/1/1984,2.650
10/1/1984,3.160
11/1/1984,3.450
12/1/1984,3.708
1/1/1985,3.993
2/1/1985,4.258
3/1/1985,4.543
4/1/1985,4.617
5/1/1985,4.080
6/1/1985,3.358
7/1/1985,3.088
8/1/1985,3.205
9/1/1985,3.640
10/1/1985,3.940
11/1/1985,4.360
12/1/1985,3.837
1/1/1986,4.503
2/1/1986,4.565
3/1/1986,4.605
4/1/1986,4.520
5/1/1986,4.273
6/1/1986,4.030
7/1/1986,3.543
8/1/1986,3.218
9/1/1986,3.256
10/1/1986,3.383
11/1/1986,3.450
12/1/1986,3.660
1/1/1987,3.838
2/1/1987,4.160
3/1/1987,4.612
4/1/1987,4.520
5/1/1987,4.647
6/1/1987,4.096
7/1/1987,3.785
8/1/1987,3.322
9/1/1987,3.417
10/1/1987,3.557
11/1/1987,3.625
12/1/1987,3.710
1/1/1988,3.878
2/1/1988,4.004
3/1/1988,4.130
4/1/1988,4.105
5/1/1988,3.498
6/1/1988,3.050
7/1/1988,2.777
8/1/1988,2.258
9/1/1988,2.495
10/1/1988,2.612
11/1/1988,2.830
12/1/1988,3.023
1/1/1989,3.216
2/1/1989,3.340
3/1/1989,3.473
4/1/1989,3.745
5/1/1989,3.713
6/1/1989,3.300
7/1/1989,2.993
8/1/1989,2.735
9/1/1989,2.405
10/1/1989,2.244
11/1/1989,2.595
12/1/1989,2.720
1/1/1990,2.964
2/1/1990,3.353
3/1/1990,3.520
4/1/1990,3.470
5/1/1990,3.395
6/1/1990,3.158
7/1/1990,2.780
8/1/1990,2.475
9/1/1990,2.485
10/1/1990,2.540
11/1/1990,2.595
12/1/1990,2.720
1/1/1991,2.738
2/1/1991,2.787
3/1/1991,2.873
4/1/1991,3.028
5/1/1991,3.030
6/1/1991,2.973
7/1/1991,2.920
8/1/1991,2.475
9/1/1991,2.485
10/1/1991,3.090
11/1/1991,2.595
12/1/1991,3.050
1/1/1992,3.103
2/1/1992,3.238
3/1/1992,3.492
4/1/1992,3.648
5/1/1992,3.395
6/1/1992,3.193
7/1/1992,3.425
8/1/1992,3.113
9/1/1992,3.070
10/1/1992,3.070
11/1/1992,3.285
12/1/1992,3.410
1/1/1993,3.460
2/1/1993,3.568
3/1/1993,3.714
4/1/1993,3.837
5/1/1993,3.783
6/1/1993,3.197
7/1/1993,2.948
8/1/1993,2.644
9/1/1993,2.580
10/1/1993,2.540
11/1/1993,2.860
12/1/1993,3.047
1/1/1994,3.197
2/1/1994,3.318
3/1/1994,3.477
4/1/1994,3.528
5/1/1994,3.650
6/1/1994,3.773
7/1/1994,3.780
8/1/1994,3.685
9/1/1994,3.680
10/1/1994,3.740
11/1/1994,3.520
12/1/1994,3.730
1/1/1995,3.860
2/1/1995,3.927
3/1/1995,3.977
4/1/1995,4.010
5/1/1995,4.038
6/1/1995,4.130
7/1/1995,3.790
8/1/1995,3.790
9/1/1995,3.635
10/1/1995,3.467
11/1/1995,3.610
12/1/1995,3.465
1/1/1996,3.568
2/1/1996,3.775
3/1/1996,3.820
4/1/1996,3.840
5/1/1996,3.710
6/1/1996,3.588
7/1/1996,3.460
8/1/1996,3.492
9/1/1996,3.285
10/1/1996,3.400
11/1/1996,3.530
12/1/1996,3.465
1/1/1997,3.753
2/1/1997,3.873
3/1/1997,3.977
4/1/1997,3.930
5/1/1997,4.020
6/1/1997,3.548
7/1/1997,3.860
8/1/1997,3.815
9/1/1997,3.693
10/1/1997,3.423
11/1/1997,3.437
12/1/1997,3.526
1/1/1998,3.670
2/1/1998,3.800
3/1/1998,3.887
4/1/1998,3.760
5/1/1998,3.707
6/1/1998,3.508
7/1/1998,3.433
8/1/1998,3.690
9/1/1998,3.900
10/1/1998,3.815
11/1/1998,3.830
12/1/1998,3.680
1/1/1999,3.603
2/1/1999,3.520
3/1/1999,3.630
4/1/1999,3.738
5/1/1999,3.820
6/1/1999,3.930
7/1/1999,3.280
8/1/1999,2.958
9/1/1999,2.885
10/1/1999,3.070
11/1/1999,3.125
12/1/1999,3.178
1/1/2000,3.260
2/1/2000,3.335
3/1/2000,3.420
4/1/2000,3.470
5/1/2000,3.387
6/1/2000,3.733
7/1/2000,2.240
8/1/2000,3.205
9/1/2000,3.135
10/1/2000,3.100
11/1/2000,3.170
12/1/2000,3.178
1/1/2001,3.363
2/1/2001,3.478
3/1/2001,3.558
4/1/2001,3.670
5/1/2001,3.660
6/1/2001,3.535
7/1/2001,3.280
8/1/2001,3.800
9/1/2001,3.290
10/1/2001,3.193
11/1/2001,2.200
12/1/2001,2.100
1/1/2002,3.499
2/1/2002,4.110
3/1/2002,4.327
4/1/2002,4.293
5/1/2002,4.237
6/1/2002,4.160
7/1/2002,4.088
8/1/2002,3.977
9/1/2002,3.840
10/1/2002,3.803
11/1/2002,3.743
12/1/2002,3.693
1/1/2003,3.635
2/1/2003,3.480
3/1/2003,3.406
4/1/2003,3.335
5/1/2003,3.390
6/1/2003,3.635
7/1/2003,3.260
8/1/2003,3.665
9/1/2003,3.948
10/1/2003,3.815
11/1/2003,3.743
12/1/2003,3.730
1/1/2004,3.060
2/1/2004,3.500
3/1/2004,3.540
4/1/2004,3.443
5/1/2004,3.447
6/1/2004,3.425
7/1/2004,3.348
8/1/2004,3.428
9/1/2004,3.390
10/1/2004,3.815
11/1/2004,3.858
12/1/2004,3.730
1/1/2005,3.318
2/1/2005,3.520
3/1/2005,3.603
4/1/2005,3.550
5/1/2005,3.550
6/1/2005,3.548
7/1/2005,3.500
8/1/2005,3.255
9/1/2005,3.050
10/1/2005,3.070
11/1/2005,3.974
12/1/2005,3.178
1/1/2006,3.580
2/1/2006,4.053
3/1/2006,4.260
4/1/2006,4.215
5/1/2006,4.200
6/1/2006,4.107
7/1/2006,4.006
8/1/2006,3.960
9/1/2006,4.020
10/1/2006,4.060
11/1/2006,4.090
12/1/2006,3.465
1/1/2007,4.005
2/1/2007,4.037
3/1/2007,4.093
4/1/2007,4.880
5/1/2007,4.647
6/1/2007,4.179
7/1/2007,3.900
8/1/2007,3.322
9/1/2007,3.693
10/1/2007,3.840
11/1/2007,3.945
12/1/2007,5.700
1/1/2008,4.450
2/1/2008,4.367
3/1/2008,3.682
4/1/2008,4.600
5/1/2008,4.633
6/1/2008,4.250
7/1/2008,4.145
8/1/2008,3.322
9/1/2008,3.417
10/1/2008,3.557
11/1/2008,3.625
12/1/2008,3.710
1/1/2009,3.165
2/1/2009,3.208
3/1/2009,3.270
4/1/2009,3.305
5/1/2009,3.395
6/1/2009,3.390
7/1/2009,2.980
8/1/2009,2.928
9/1/2009,2.910
10/1/2009,2.540
11/1/2009,2.595
12/1/2009,3.057
1/1/2010,3.128
2/1/2010,3.177
3/1/2010,3.170
4/1/2010,3.110
5/1/2010,3.060
6/1/2010,3.025
7/1/2010,3.025
8/1/2010,2.980
9/1/2010,2.935
10/1/2010,2.540
11/1/2010,2.595
12/1/2010,2.720
