Year,Water_level
Jan-80,3.285
Feb-80,3.520
Mar-80,3.914
Apr-80,4.330
May-80,2.263
Jun-80,1.930
Jul-80,1.677
Aug-80,1.675
Sep-80,1.730
Oct-80,1.420
Nov-80,1.810
Dec-80,2.095
Jan-81,2.853
Feb-81,3.283
Mar-81,3.812
Apr-81,2.905
May-81,2.613
Jun-81,1.972
Jul-81,1.737
Aug-81,1.560
Sep-81,1.550
Oct-81,2.170
Nov-81,2.380
Dec-81,3.200
Jan-82,3.583
Feb-82,3.870
Mar-82,3.048
Apr-82,3.563
May-82,2.608
Jun-82,1.828
Jul-82,1.365
Aug-82,1.498
Sep-82,1.790
Oct-82,2.040
Nov-82,2.960
Dec-82,3.167
Jan-83,3.538
Feb-83,3.848
Mar-83,4.010
Apr-83,4.105
May-83,2.550
Jun-83,2.388
Jul-83,1.630
Aug-83,1.638
Sep-83,1.627
Oct-83,2.093
Nov-83,2.380
Dec-83,3.258
Jan-84,3.520
Feb-84,3.425
Mar-84,3.290
Apr-84,2.902
May-84,2.003
Jun-84,1.353
Jul-84,1.592
Aug-84,1.795
Sep-84,1.883
Oct-84,2.120
Nov-84,2.540
Dec-84,2.850
Jan-85,3.830
Feb-85,3.923
Mar-85,4.168
Apr-85,3.658
May-85,3.125
Jun-85,2.260
Jul-85,1.758
Aug-85,1.887
Sep-85,1.850
Oct-85,2.373
Nov-85,2.873
Dec-85,3.433
Jan-86,3.578
Feb-86,4.043
Mar-86,4.160
Apr-86,4.410
May-86,4.350
Jun-86,3.923
Jul-86,2.963
Aug-86,1.813
Sep-86,1.914
Oct-86,2.403
Nov-86,2.915
Dec-86,3.494
Jan-87,3.685
Feb-87,3.817
Mar-87,4.634
Apr-87,3.823
May-87,3.127
Jun-87,2.698
Jul-87,1.845
Aug-87,1.680
Sep-87,2.258
Oct-87,2.598
Nov-87,3.323
Dec-87,4.093
Jan-88,4.023
Feb-88,4.448
Mar-88,4.537
Apr-88,4.920
May-88,3.253
Jun-88,2.475
Jul-88,1.795
Aug-88,1.730
Sep-88,1.800
Oct-88,2.790
Nov-88,2.940
Dec-88,3.615
Jan-89,4.072
Feb-89,4.383
Mar-89,4.730
Apr-89,4.817
May-89,3.758
Jun-89,2.655
Jul-89,1.916
Aug-89,2.053
Sep-89,1.397
Oct-89,2.080
Nov-89,2.940
Dec-89,3.615
Jan-90,3.608
Feb-90,3.763
Mar-90,3.830
Apr-90,3.318
May-90,2.257
Jun-90,2.223
Jul-90,2.180
Aug-90,1.805
Sep-90,1.538
Oct-90,2.295
Nov-90,2.743
Dec-90,3.253
Jan-91,3.558
Feb-91,3.873
Mar-91,4.060
Apr-91,3.753
May-91,2.180
Jun-91,1.308
Jul-91,1.882
Aug-91,2.213
Sep-91,2.043
Oct-91,2.080
Nov-91,2.595
Dec-91,2.968
Jan-92,3.663
Feb-92,3.593
Mar-92,5.213
Apr-92,5.363
May-92,5.540
Jun-92,3.165
Jul-92,2.753
Aug-92,2.560
Sep-92,2.765
Oct-92,3.218
Nov-92,3.562
Dec-92,4.770
Jan-93,5.350
Feb-93,5.495
Mar-93,5.992
Apr-93,5.235
May-93,4.174
Jun-93,3.528
Jul-93,2.053
Aug-93,1.800
Sep-93,2.333
Oct-93,2.477
Nov-93,2.790
Dec-93,3.030
Jan-94,4.610
Feb-94,5.198
Mar-94,5.107
Apr-94,4.318
May-94,3.796
Jun-94,2.997
Jul-94,2.635
Aug-94,2.020
Sep-94,2.848
Oct-94,3.347
Nov-94,4.270
Dec-94,4.348
Jan-95,4.742
Feb-95,4.900
Mar-95,5.287
Apr-95,5.450
May-95,5.128
Jun-95,3.165
Jul-95,2.753
Aug-95,2.920
Sep-95,2.738
Oct-95,2.900
Nov-95,3.550
Dec-95,4.435
Jan-96,5.448
Feb-96,4.100
Mar-96,5.600
Apr-96,5.493
May-96,4.250
Jun-96,3.200
Jul-96,2.174
Aug-96,2.300
Sep-96,2.367
Oct-96,2.965
Nov-96,2.080
Dec-96,3.780
Jan-97,5.338
Feb-97,5.083
Mar-97,5.450
Apr-97,5.400
May-97,5.375
Jun-97,3.525
Jul-97,1.967
Aug-97,2.350
Sep-97,1.715
Oct-97,2.520
Nov-97,3.875
Dec-97,6.052
Jan-98,5.583
Feb-98,5.170
Mar-98,5.290
Apr-98,5.395
May-98,5.805
Jun-98,4.206
Jul-98,3.270
Aug-98,2.356
Sep-98,3.393
Oct-98,3.640
Nov-98,4.467
Dec-98,4.723
Jan-99,5.665
Feb-99,5.210
Mar-99,6.288
Apr-99,6.220
May-99,5.738
Jun-99,4.738
Jul-99,2.835
Aug-99,3.772
Sep-99,3.557
Oct-99,3.397
Nov-99,3.190
Dec-99,4.653
Jan-00,5.446
Feb-00,5.615
Mar-00,5.153
Apr-00,5.055
May-00,4.683
Jun-00,3.205
Jul-00,3.188
Aug-00,3.738
Sep-00,3.815
Oct-00,3.580
Nov-00,3.560
Dec-00,3.998
Jan-01,5.376
Feb-01,5.383
Mar-01,5.540
Apr-01,6.384
May-01,5.690
Jun-01,5.093
Jul-01,3.563
Aug-01,3.823
Sep-01,3.610
Oct-01,3.288
Nov-01,4.758
Dec-01,5.477
Jan-02,5.830
Feb-02,5.365
Mar-02,6.738
Apr-02,6.280
May-02,5.160
Jun-02,3.620
Jul-02,3.015
Aug-02,3.488
Sep-02,3.376
Oct-02,4.317
Nov-02,4.695
Dec-02,4.717
Jan-03,4.888
Feb-03,6.128
Mar-03,6.678
Apr-03,5.720
May-03,5.640
Jun-03,3.728
Jul-03,3.713
Aug-03,3.668
Sep-03,3.703
Oct-03,3.513
Nov-03,4.445
Dec-03,4.403
Jan-04,5.865
Feb-04,6.513
Mar-04,6.573
Apr-04,6.583
May-04,5.452
Jun-04,4.543
Jul-04,2.510
Aug-04,2.797
Sep-04,3.376
Oct-04,4.317
Nov-04,4.695
Dec-04,4.717
Jan-05,5.665
Feb-05,5.210
Mar-05,6.288
Apr-05,6.220
May-05,5.738
Jun-05,4.738
Jul-05,2.835
Aug-05,3.772
Sep-05,3.557
Oct-05,3.625
Nov-05,3.720
Dec-05,4.900
Jan-06,4.352
Feb-06,5.793
Mar-06,5.393
Apr-06,5.098
May-06,4.568
Jun-06,4.225
Jul-06,2.550
Aug-06,2.920
Sep-06,2.738
Oct-06,2.900
Nov-06,3.550
Dec-06,4.435
Jan-07,4.006
Feb-07,4.917
Mar-07,4.898
Apr-07,4.858
May-07,4.632
Jun-07,3.910
Jul-07,2.443
Aug-07,2.315
Sep-07,2.608
Oct-07,1.617
Nov-07,2.730
Dec-07,3.174
Jan-08,3.660
Feb-08,4.040
Mar-08,4.400
Apr-08,4.617
May-08,4.758
Jun-08,3.595
Jul-08,2.335
Aug-08,1.813
Sep-08,1.914
Oct-08,2.403
Nov-08,2.915
Dec-08,3.494
Jan-09,3.968
Feb-09,4.385
Mar-09,4.760
Apr-09,5.340
May-09,4.725
Jun-09,3.133
Jul-09,2.323
Aug-09,1.848
Sep-09,1.888
Oct-09,2.315
Nov-09,2.964
Dec-09,3.590
Jan-10,4.068
Feb-10,4.130
Mar-10,5.090
Apr-10,4.480
May-10,3.084
Jun-10,1.928
Jul-10,1.697
Aug-10,1.533
Sep-10,1.537
Oct-10,2.790
Nov-10,2.940
Dec-10,3.325
